,Empresa,Tipo Ação,Código,Índice
1,3R PETROLEUM,ON   NM,RRRP3,"GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL"
2,3TENTOS,ON   NM,TTEN3,"AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
4,ABC BRASIL,PN   N2,ABCB4,"IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL"
8,AERIS,ON   NM,AERI3,"GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL"
9,AES BRASIL,ON   NM,AESB3,"IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL"
10,AGROGALAXY,ON   NM,AGXY3,"IGCX,IGNM,ITAG"
12,ALIANSCSONAE,ON   NM,ALSO3,"IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,IMOB,ISEE,ITAG,SMLL"
14,ALLIAR,ON   NM,AALR3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
15,ALLIED,ON   NM,ALLD3,"IGCX,IGNM,ITAG"
16,ALPARGATAS,ON   N1,ALPA3,IGCX
17,ALPARGATAS,PN   N1,ALPA4,"IBOV,IBRA,IBXX,ICON,IGCT,IGCX,INDX,IVBX,SMLL"
18,ALPER S.A.,ON   NM,APER3,"IGCX,IGNM,ITAG"
21,ALPHAVILLE,ON   NM,AVLL3,"IGCX,IGNM,ITAG"
22,ALUPAR,UNT  N2,ALUP11,"IBRA,IDIV,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL"
24,AMBEV S/A,ON,ABEV3,"AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,INDX,ISEE,MLCX"
25,AMBIPAR,ON   NM,AMBP3,"IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL"
31,ANIMA,ON   NM,ANIM3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
35,AREZZO CO,ON   NM,ARZZ3,"AGFS,GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
36,ARMAC,ON   NM,ARML3,"AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
37,ASSAI,ON   NM,ASAI3,"AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
40,AUREN,ON   NM,AURE3,"IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ITAG,MLCX,UTIL"
41,AZUL,PN   N2,AZUL4,"IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,ISEE,ITAG,IVBX,SMLL"
42,B3,ON   NM,B3SA3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX"
43,BAHEMA,ON   MA,BAHI3,ITAG
45,BANCO BMG,PN   N1,BMGB4,"IGCX,ITAG"
46,BANCO PAN,PN   N1,BPAN4,"GPTW,IBRA,IFNC,IGCT,IGCX,ISEE,ITAG,SMLL"
48,BANESE,PN,BGIP4,ITAG
50,BANRISUL,ON   N1,BRSR3,"IGCX,ITAG"
51,BANRISUL,PNB  N1,BRSR6,"IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL"
52,BBSEGURIDADE,ON   NM,BBSE3,"IBOV,IBRA,IBXL,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
53,BEMOBI TECH,ON   NM,BMOB3,"GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
57,BIOMM,ON   MA,BIOM3,ITAG
60,BLAU,ON   NM,BLAU3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
63,BOA SAFRA,ON   NM,SOJA3,"IGCX,IGNM,ITAG"
64,BOA VISTA,ON   NM,BOAS3,"GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL"
67,BR PARTNERS,UNT  N2,BRBI11,IGCX
68,BR PROPERT,ON,BRPR3,"GPTW,IBRA,IMOB,ITAG,SMLL"
69,BRADESCO,ON   N1,BBDC3,"IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,ITAG,MLCX"
70,BRADESCO,PN   N1,BBDC4,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX"
71,BRADESPAR,ON   N1,BRAP3,"IGCX,ITAG"
72,BRADESPAR,PN   N1,BRAP4,"IBOV,IBRA,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,SMLL"
73,BRASIL,ON   NM,BBAS3,"IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX"
74,BRASILAGRO,ON   NM,AGRO3,"AGFS,GPTW,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL"
75,BRASKEM,ON   N1,BRKM3,"IGCX,ITAG"
76,BRASKEM,PNA  N1,BRKM5,"IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,MLCX"
77,BRF SA,ON   NM,BRFS3,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL"
78,BRISANET,ON   NM,BRIT3,"IGCX,IGNM,ITAG"
81,BTGP BANCO,UNT  N2,BPAC11,"IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX"
82,CAIXA SEGURI,ON   NM,CXSE3,"GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX"
83,CAMIL,ON   NM,CAML3,"AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL"
85,CARREFOUR BR,ON   NM,CRFB3,"AGFS,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
88,CBA,ON   NM,CBAV3,"GPTW,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL"
89,CCR SA,ON   NM,CCRO3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
90,CEA MODAS,ON   NM,CEAB3,"GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
91,CEDRO,PN   N1,CEDO4,"IGCX,ITAG"
92,CELESC,ON   N2,CLSC3,"IGCX,ITAG"
93,CELESC,PN   N2,CLSC4,"IGCX,ITAG"
94,CEMIG,ON   N1,CMIG3,"IBRA,IDIV,IGCT,IGCX,MLCX,UTIL"
95,CEMIG,PN   N1,CMIG4,"IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL"
98,CIELO,ON   NM,CIEL3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
101,CLEARSALE,ON   NM,CLSA3,"GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL"
103,COELCE,PNA,COCE5,IEEX
104,COGNA ON,ON   NM,COGN3,"GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL"
108,COPASA,ON   NM,CSMG3,"IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL"
109,COPEL,PNB  N2,CPLE6,"GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL"
111,COSAN,ON   NM,CSAN3,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
113,COTEMINAS,PN,CTNM4,ITAG
114,CPFL ENERGIA,ON   NM,CPFE3,"IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL"
116,CRUZEIRO EDU,ON   NM,CSED3,"IGCX,IGNM,ITAG"
117,CSNMINERACAO,ON   N2,CMIN3,"IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX"
118,CSU DIGITAL,ON   NM,CSUD3,"IGCX,IGNM,ITAG"
119,CURY S/A,ON   NM,CURY3,"IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL"
120,CVC BRASIL,ON   NM,CVCB3,"IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL"
121,CYRELA REALT,ON   NM,CYRE3,"IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL"
122,D1000VFARMA,ON   NM,DMVF3,"IGCX,IGNM,ITAG"
123,DASA,ON   NM,DASA3,"GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
124,DESKTOP,ON   NM,DESK3,"IGCX,IGNM,ITAG"
126,DEXCO,ON   NM,DXCO3,"AGFS,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL"
127,DEXXOS PAR,ON   N1,DEXP3,IGCX
128,DEXXOS PAR,PN   N1,DEXP4,IGCX
129,DIMED,ON   NM,PNVL3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
130,DIRECIONAL,ON   NM,DIRR3,"IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL"
132,ECORODOVIAS,ON   NM,ECOR3,"IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
133,ELETROBRAS,ON   N1,ELET3,"IBOV,IBRA,IBXL,IBXX,ICO2,IEEX,IGCT,IGCX,ISEE,MLCX,UTIL"
134,ELETROBRAS,PNB  N1,ELET6,"IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,MLCX,UTIL"
135,ELETROMIDIA,ON   NM,ELMD3,"IGCX,IGNM,ITAG"
136,EMBRAER,ON   NM,EMBR3,"IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL"
137,ENAUTA PART,ON   NM,ENAT3,"IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL"
138,ENERGIAS BR,ON   NM,ENBR3,"IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL"
139,ENERGISA,UNT  N2,ENGI11,"GPTW,IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL"
140,ENEVA,ON   NM,ENEV3,"IBOV,IBRA,IBXL,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL"
141,ENGIE BRASIL,ON   NM,EGIE3,"IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL"
142,EQUATORIAL,ON   NM,EQTL3,"GPTW,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL"
144,ESPACOLASER,ON   NM,ESPA3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
145,ESTAPAR,ON   NM,ALPK3,"IGCX,IGNM,ITAG"
147,EUCATEX,ON   N1,EUCA3,IGCX
148,EUCATEX,PN   N1,EUCA4,IGCX
149,EVEN,ON   NM,EVEN3,"IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL"
151,EZTEC,ON   NM,EZTC3,"IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL"
152,FER HERINGER,ON   NM,FHER3,"AGFS,IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL"
153,FERBASA,PN   N1,FESA4,"IBRA,IDIV,IGCT,IGCX,IMAT,SMLL"
265,FLEURY,ON   NM,FLRY3,"IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
267,FRAS-LE,ON   N1,FRAS3,IGCX
269,GAFISA,ON   NM,GFSA3,"GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL"
272,GER PARANAP,PN,GEPA4,ITAG
273,GERDAU,ON   N1,GGBR3,"IGCX,ITAG"
274,GERDAU,PN   N1,GGBR4,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX"
275,GERDAU MET,ON   N1,GOAU3,"IGCX,ITAG"
276,GERDAU MET,PN   N1,GOAU4,"IBOV,IBRA,IBXX,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL"
277,GETNINJAS,ON   NM,NINJ3,"IGCX,IGNM,ITAG"
278,GOL,PN   N2,GOLL4,"IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,ITAG,IVBX,SMLL"
280,GPS,ON   NM,GGPS3,"IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
281,GRAZZIOTIN,ON,CGRA3,ITAG
282,GRAZZIOTIN,PN,CGRA4,ITAG
283,GRENDENE,ON   NM,GRND3,"IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL"
284,GRUPO MATEUS,ON   NM,GMAT3,"AGFS,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
285,GRUPO NATURA,ON   NM,NTCO3,"IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX"
286,GRUPO SBF,ON   NM,SBFG3,"GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
287,GRUPO SOMA,ON   NM,SOMA3,"IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL"
288,GUARARAPES,ON   NM,GUAR3,"GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
289,HAPVIDA,ON   NM,HAPV3,"IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
290,HBR REALTY,ON   NM,HBRE3,"IGCX,IGNM,ITAG"
291,HELBOR,ON   NM,HBOR3,"IGCX,IGNM,ITAG"
292,HIDROVIAS,ON   NM,HBSA3,"AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
295,HYPERA,ON   NM,HYPE3,"IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
296,IGUATEMI S.A,UNT  N1,IGTI11,"GPTW,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMOB,ITAG,SMLL"
297,IMC S/A,ON   NM,MEAL3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
298,INEPAR,ON,INEP3,ITAG
299,INEPAR,PN,INEP4,ITAG
300,INFRACOMM,ON   NM,IFCM3,"GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
302,INTELBRAS,ON   NM,INTB3,"GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL"
303,IOCHP-MAXION,ON   NM,MYPK3,"IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL"
304,IRANI,ON   NM,RANI3,"AGFS,GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL"
305,IRBBRASIL RE,ON   NM,IRBR3,"IBOV,IBRA,IBXX,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL"
306,ITAUSA,ON   N1,ITSA3,IGCX
307,ITAUSA,PN   N1,ITSA4,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX"
308,ITAUUNIBANCO,ON   N1,ITUB3,"IBRA,IFNC,IGCT,IGCX,MLCX"
309,ITAUUNIBANCO,PN   N1,ITUB4,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX"
310,JALLESMACHAD,ON   NM,JALL3,"AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
311,JBS,ON   NM,JBSS3,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX"
313,JHSF PART,ON   NM,JHSF3,"IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL"
316,JSL,ON   NM,JSLG3,"IGCX,IGNM,ITAG"
317,KEPLER WEBER,ON,KEPL3,"AGFS,GPTW,IBRA,IDIV,INDX,ITAG,SMLL"
318,KLABIN S/A,UNT  N2,KLBN11,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX"
319,KORA SAUDE,ON   NM,KRSA3,"IGCX,IGNM,ITAG"
321,LAVVI,ON   NM,LAVV3,"IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL"
323,LOCALIZA,ON   NM,RENT3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
324,LOCAWEB,ON   NM,LWSA3,"GPTW,IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL"
325,LOG COM PROP,ON   NM,LOGG3,"IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL"
326,LOG-IN,ON   NM,LOGN3,"GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
