Date,Open,High,Low,Close,Volume,buy_sell,price
2010-11-05,321.6184997558594,323.53289794921875,308.2177429199219,308.2177429199219,55892,B,308.41449951171876
2010-11-10,315.77960205078125,331.9830322265625,313.6737670898437,315.87530517578125,12014,S,320.09697509765624
2010-11-18,344.1126708984375,344.1126708984375,310.13214111328125,320.6593933105469,32908,B,312.99372314453126
2010-11-24,310.13214111328125,315.8772277832031,307.03082275390625,315.8772277832031,11491,S,313.01372314453124
2010-11-29,313.00372314453125,313.00372314453125,307.2605285644531,308.2177429199219,6268,B,309.7392370605469
2010-12-01,313.00372314453125,319.6064758300781,312.0465393066406,319.6064758300781,10969,S,313.01372314453124
2010-12-03,313.00372314453125,313.00372314453125,306.3033447265625,313.00372314453125,20371,B,311.76850341796876
2010-12-07,313.9609375,324.8710632324219,310.13214111328125,319.7041015625,9402,S,317.41682983398437
2010-12-13,320.6498107910156,320.6498107910156,312.0484313964844,312.0484313964844,2611,B,316.82251953125
2010-12-14,314.9200439453125,330.6161804199219,314.9200439453125,330.6161804199219,25595,S,320.66939331054687
2010-12-22,364.6924133300781,364.6924133300781,359.90643310546875,363.3408508300781,10969,B,369.4683935546875
2010-12-29,363.7352294921875,363.7352294921875,354.1632385253906,363.7352294921875,3656,S,358.95921875
2011-01-04,365.6495971679688,365.6495971679688,361.8227233886719,361.8227233886719,6790,B,363.7252294921875
2011-01-07,357.9920349121094,363.7352294921875,357.9920349121094,362.7780151367188,36565,S,361.8308312988281
2011-01-18,382.8791809082031,382.8791809082031,371.9671325683594,379.0484619140625,35520,B,382.86918090820313
2011-01-27,344.5912475585937,351.48309326171875,343.05975341796875,343.05975341796875,5745,S,346.517568359375
2011-02-10,359.9045104980469,359.9045104980469,359.9045104980469,359.9045104980469,1044,B,363.7252294921875
2011-02-11,359.90643310546875,367.5639953613281,354.1632385253906,367.5639953613281,4178,S,363.7452294921875
2011-02-16,358.94921875,358.94921875,353.2098693847656,358.94921875,5223,B,358.93921875
2011-02-25,354.1632385253906,354.1632385253906,339.61383056640625,354.16131591796875,4701,S,335.60359741210937
2011-03-10,354.16131591796875,363.7352294921875,344.5912475585937,344.5912475585937,15148,B,354.15323852539063
2011-03-18,359.90643310546875,363.7352294921875,359.90643310546875,363.7352294921875,3134,S,354.1751611328125
2011-03-23,363.7333068847656,363.7352294921875,353.9718017578125,354.1632385253906,6790,B,363.72330688476563
2011-03-31,344.5912475585937,350.3344421386719,344.5912475585937,344.5912475585937,12014,S,339.81526733398437
2011-04-04,344.5912475585937,348.4200439453125,341.1472473144531,348.4200439453125,48056,B,344.5812475585937
2011-04-06,350.3363647460937,353.7803649902344,350.3344421386719,350.3344421386719,3134,S,348.4300439453125
2011-04-07,347.84765625,347.84765625,344.5912475585937,344.5912475585937,26117,B,348.4100439453125
2011-04-12,346.5056457519531,346.5056457519531,339.8052673339844,339.8052673339844,12536,S,344.6012475585937
2011-04-19,353.9698791503906,354.1632385253906,350.3344421386719,353.9718017578125,12536,B,350.6135046386719
2011-04-20,353.9718017578125,354.1651611328125,346.1802062988281,354.1632385253906,59026,S,354.1732385253906
2011-04-25,337.0389709472656,354.1632385253906,337.0389709472656,354.1632385253906,5745,B,346.17020629882813
2011-04-26,354.1593933105469,357.9901123046875,352.24884033203125,354.1651611328125,9924,S,354.1751611328125
2011-05-13,402.0231323242188,418.2955017089844,402.0231323242188,415.42388916015625,6268,B,402.0169470214844
2011-05-17,406.81103515625,418.8678894042969,402.0231323242188,402.0231323242188,3656,S,418.30550170898437
2011-05-18,392.4511413574219,392.4511413574219,381.9200744628906,381.9200744628906,7835,B,402.0131323242188
2011-05-27,344.5912475585937,344.5912475585937,344.5912475585937,344.5912475585937,14103,S,344.59935546875
2011-06-03,348.4200439453125,357.9920349121094,348.4200439453125,357.9920349121094,6268,B,356.06763671875
2011-06-14,335.02117919921875,344.97222900390625,335.019287109375,338.8480834960937,34475,S,344.59358764648437
2011-06-16,338.8480834960937,338.8480834960937,330.2351989746094,335.019287109375,18804,B,335.009287109375
2011-06-20,339.80718994140625,362.7780151367188,339.8052673339844,352.2469177246094,6268,S,338.8580834960937
2011-06-24,348.4219665527344,358.55487060546875,348.4219665527344,354.1632385253906,3656,B,351.2835485839844
2011-06-29,354.1632385253906,363.7352294921875,348.4200439453125,354.1651611328125,19849,S,354.1732385253906
2011-06-30,344.5931701660156,373.3071899414063,344.5931701660156,373.3071899414063,26640,B,348.4100439453125
2011-07-01,373.3071899414063,384.4872741699219,373.3071899414063,382.8772583007813,7313,S,373.3171899414063
2011-07-05,373.3052673339844,374.2624816894531,361.2484130859375,374.0748596191406,7313,B,373.2971899414063
2011-07-06,363.9285583496094,392.4511413574219,363.9285583496094,387.6651611328125,15148,S,382.8891809082031
2011-07-11,379.0503845214844,382.8791809082031,372.3500061035156,377.135986328125,1196,B,375.0201513671875
2011-07-13,382.1134033203125,387.6651611328125,374.4558410644531,386.7079772949219,9914,S,382.8891809082031
2011-07-18,376.3702392578125,385.559326171875,376.3702392578125,377.135986328125,11089,B,379.0403845214844
2011-07-29,384.7935791015625,384.7935791015625,370.6270446777344,378.8589477539063,12118,S,384.22923828125
2011-08-01,377.135986328125,377.135986328125,363.7352294921875,371.2013549804688,1917,B,370.6170446777344
2011-08-15,290.0309753417969,304.197509765625,290.0309753417969,302.4745483398437,2188,S,302.867421875
2011-08-19,325.4472961425781,325.4472961425781,309.9407043457031,315.87530517578125,6654,B,317.77970336914063
2011-08-25,313.1951599121094,326.595947265625,312.620849609375,320.66131591796875,4633,S,325.265859375
2011-09-05,363.7352294921875,363.7352294921875,349.5686950683594,354.1632385253906,31858,B,349.7501318359375
2011-09-12,328.5103454589844,372.92431640625,328.5103454589844,343.2511901855469,23150,S,350.1530053710937
2011-09-16,339.61383056640625,359.90643310546875,333.1048889160156,344.5912475585937,61622,B,342.0925390625
2011-09-27,334.8278503417969,352.0574035644531,326.595947265625,328.7017822265625,11674,S,331.5833642578125
2011-10-03,336.74224853515625,340.1881408691406,324.1072082519531,336.9336853027344,15905,B,325.62873291015626
2011-10-04,344.5912475585937,344.5912475585937,317.21539306640625,319.3212280273437,3228,S,340.1981408691406
2011-10-05,319.3212280273437,325.0644226074219,313.1951599121094,313.1951599121094,7683,B,317.20539306640626
2011-10-07,328.12744140625,334.6363830566406,315.87530517578125,315.87530517578125,1117,S,329.477529296875
2011-10-11,320.08697509765625,329.2760925292969,313.00372314453125,329.2760925292969,5589,B,315.86530517578126
2011-10-13,327.3616943359375,332.339111328125,321.6184997558594,329.08465576171875,3337,S,329.28609252929687
2011-10-17,322.5757141113281,324.2986755371094,318.9383544921875,321.6184997558594,997,B,321.6084997558594
2011-10-19,325.4472961425781,326.595947265625,319.1297912597656,322.5757141113281,20502,S,324.30867553710937
2011-10-26,323.53289794921875,323.53289794921875,311.28076171875,321.6184997558594,40827,B,322.56571411132813
2011-10-28,326.0216064453125,328.12744140625,319.8955383300781,319.8955383300781,762,S,323.54289794921874
2011-11-01,311.8550720214844,315.87530517578125,308.2177429199219,313.9609375,6999,B,319.88553833007813
2011-11-03,312.0465393066406,325.255859375,310.7064514160156,316.4496459960937,20210,S,323.54289794921874
2011-11-11,313.3865966796875,314.1523742675781,309.3663635253906,312.4294128417969,5991,B,312.03653930664063
2011-11-14,312.23797607421875,335.019287109375,312.23797607421875,317.7897033691406,26243,S,319.7141015625
2011-11-18,323.3414611816406,325.4472961425781,313.5780334472656,317.7897033691406,23788,B,316.4396459960937
2011-11-22,320.2784423828125,337.3165588378906,315.87530517578125,331.19049072265625,7960,S,325.4572961425781
2011-11-25,315.10955810546875,321.8099365234375,315.10955810546875,318.3640441894531,2110,B,316.82251953125
2011-11-29,321.8099365234375,325.0644226074219,306.3033447265625,319.5126647949219,113482,S,323.54289794921874
2011-12-07,343.82550048828125,343.82550048828125,337.890869140625,340.762451171875,684,B,340.5610144042969
2011-12-08,340.762451171875,348.4200439453125,339.23095703125,340.762451171875,2716,S,344.6012475585937
2011-12-09,340.762451171875,340.762451171875,325.8301696777344,335.019287109375,5228,B,337.880869140625
2011-12-19,329.2760925292969,335.019287109375,325.8301696777344,328.8932189941406,3494,S,333.8806359863281
2011-12-21,327.1702575683594,335.2107238769531,324.6815490722656,327.3616943359375,5312,B,325.43729614257813
2011-12-23,331.3819274902344,344.3998107910156,330.9990539550781,335.019287109375,3186,S,335.2207238769531
2011-12-28,342.2939758300781,342.2939758300781,328.8932189941406,333.1048889160156,11319,B,331.5633642578125
2011-12-29,326.4045104980469,348.2286071777344,325.4472961425781,325.4472961425781,17676,S,343.83550048828124
2012-01-04,346.1227722167969,348.2286071777344,328.5103454589844,337.890869140625,3034,B,329.457529296875
2012-01-10,344.3998107910156,357.4176940917969,341.7196655273437,349.1858215332031,36183,S,344.6012475585937
2012-01-16,349.1858215332031,361.2464904785156,342.6768493652344,352.24884033203125,1964,B,342.8582861328125
2012-01-17,343.2511901855469,363.5437622070313,343.2511901855469,350.7173156738281,1875,S,361.2564904785156
2012-01-30,375.2215881347656,378.47607421875,370.052734375,373.3071899414063,16772,B,371.76566528320313
2012-01-31,371.584228515625,381.34765625,365.6495971679688,379.0503845214844,27329,S,380.5919091796875
2012-02-03,370.6270446777344,381.5390930175781,370.6270446777344,378.0931701660156,5960,B,373.6800634765625
2012-02-06,378.0931701660156,390.1538696289063,378.0931701660156,388.6223754882813,26070,S,382.50630737304687
2012-02-08,382.687744140625,390.1538696289063,369.86126708984375,369.86126708984375,10640,B,376.1688024902344
2012-02-13,370.8184814453125,382.687744140625,370.8184814453125,382.687744140625,4126,S,375.2315881347656
2012-02-17,382.8791809082031,382.8791809082031,374.0729675292969,380.96478271484375,3384,B,374.44584106445313
2012-02-23,384.7935791015625,392.4511413574219,381.73052978515625,386.7079772949219,17410,S,382.8891809082031
2012-03-02,394.3655395507813,394.3655395507813,375.9873352050781,381.9219665527344,12233,B,390.3353063964844
2012-03-08,374.4558410644531,379.0503845214844,365.6495971679688,371.3927917480469,10159,S,377.72029663085937
2012-03-12,373.4986267089844,373.4986267089844,360.6721801757813,368.3297729492188,6257,B,365.6395971679688
2012-03-13,366.7982482910156,383.83636474609375,366.2239379882813,377.135986328125,27199,S,373.50862670898437
2012-03-23,376.7531127929688,380.96478271484375,370.2441711425781,374.264404296875,18768,B,379.0403845214844
2012-03-30,382.8791809082031,382.8791809082031,371.2013549804688,373.3071899414063,7804,S,381.93196655273437
2012-04-02,375.2215881347656,377.9017333984375,362.7780151367188,362.9694519042969,16360,B,366.97968505859376
2012-04-09,370.2441711425781,370.2441711425781,364.5009765625,365.0752868652344,29544,S,369.87126708984374
2012-04-10,370.43560791015625,370.43560791015625,362.2037048339844,363.7352294921875,10175,B,362.7680151367188
2012-04-11,364.5009765625,371.3927917480469,363.7352294921875,363.7352294921875,5254,S,370.44560791015624
2012-04-23,378.0931701660156,391.4939575195313,376.1788024902344,391.4939575195313,27810,B,378.08317016601563
2012-04-24,384.9850158691406,397.4285888671875,384.9850158691406,397.4285888671875,5411,S,391.5039575195313
