Date,Open,High,Low,Close,Volume,buy_sell,price
2021-08-06,21.26000022888184,21.920000076293945,21.170000076293945,21.90999984741211,819300,B,21.66999984741211
2021-08-10,22.790000915527344,24.729999542236328,22.299999237060547,24.489999771118164,947400,S,23.360000610351562
2021-08-24,22.399999618530277,22.790000915527344,22.0,22.0,126200,B,22.589999923706053
2021-08-30,21.82999992370605,21.82999992370605,20.770000457763672,20.920000076293945,330600,S,21.289999237060545
2021-10-14,23.13999938964844,24.299999237060547,22.979999542236328,24.190000534057617,460700,B,23.940000305175783
2021-10-21,22.34000015258789,22.40999984741211,21.68000030517578,22.0,910500,S,22.54999946594238
2021-11-19,24.790000915527344,26.059999465942383,24.61000061035156,25.700000762939453,604200,B,24.98999954223633
2021-11-24,24.209999084472656,24.649999618530277,23.709999084472656,24.239999771118164,321400,S,23.83000015258789
2021-12-08,22.09000015258789,23.059999465942383,21.86000061035156,22.649999618530277,477000,B,22.190000305175783
2021-12-09,22.420000076293945,24.350000381469727,22.01000022888184,24.06999969482422,1047500,S,23.319999694824226
2022-01-12,19.739999771118164,22.100000381469727,19.739999771118164,21.709999084472656,598600,B,20.15999961853028
2022-01-13,21.76000022888184,22.06999969482422,21.15999984741211,21.489999771118164,192400,S,22.010000228881854
2022-01-20,20.82999992370605,21.93000030517578,20.63999938964844,21.56999969482422,416400,B,21.30999923706055
2022-01-26,20.850000381469727,21.90999984741211,19.75,20.09000015258789,790300,S,20.149999847412108
2022-02-15,20.540000915527344,21.3799991607666,20.520000457763672,20.950000762939453,356300,B,21.089999923706053
2022-02-16,21.190000534057617,21.309999465942383,19.93000030517578,19.93000030517578,885500,S,20.289999237060545
2022-03-22,15.699999809265137,16.360000610351562,15.68000030517578,16.200000762939453,373400,B,16.300000915527345
2022-03-24,16.899999618530273,18.350000381469727,16.6200008392334,18.1200008392334,633300,S,17.910003662109375
2022-04-26,15.600000381469728,15.899999618530272,14.989999771118164,14.989999771118164,821100,B,15.85000015258789
2022-04-27,15.1899995803833,15.359999656677246,14.920000076293944,15.270000457763672,622500,S,14.960000267028809
2022-05-17,12.979999542236328,13.170000076293944,12.760000228881836,13.050000190734863,416500,B,13.070000419616699
2022-05-24,12.949999809265137,12.949999809265137,12.270000457763672,12.880000114440918,710100,S,12.64999984741211
2022-05-30,13.289999961853027,13.699999809265137,13.149999618530272,13.329999923706056,166400,B,13.369999656677246
2022-05-31,13.329999923706056,14.1899995803833,13.329999923706056,13.81999969482422,396500,S,14.079998970031738
2022-06-23,12.0600004196167,12.800000190734863,11.760000228881836,12.43000030517578,342700,B,12.220000038146972
2022-06-30,12.029999732971191,12.289999961853027,11.34000015258789,12.140000343322754,753100,S,11.620000114440918
2022-08-01,11.920000076293944,12.0600004196167,11.539999961853027,11.880000114440918,450800,B,11.890000114440918
2022-08-04,12.84000015258789,13.699999809265137,12.84000015258789,13.470000267028809,299100,S,13.09999942779541
2022-08-12,16.040000915527344,16.709999084472656,15.920000076293944,16.329999923706055,295800,B,16.180000076293947
2022-08-18,15.800000190734863,16.09000015258789,15.289999961853027,15.6899995803833,206300,S,15.410000076293944
2022-09-20,15.93000030517578,16.540000915527344,15.630000114440918,15.829999923706056,375500,B,16.110000381469728
2022-09-21,15.8100004196167,16.229999542236328,15.43000030517578,16.110000610351562,446900,S,15.450000038146973
2022-10-06,15.630000114440918,16.280000686645508,15.510000228881836,15.850000381469728,338700,B,15.860000381469728
2022-10-10,15.539999961853027,15.729999542236328,15.039999961853027,15.239999771118164,170200,S,15.160000076293944
2022-10-17,14.670000076293944,15.300000190734863,14.609999656677246,14.84000015258789,244900,B,14.999999771118164
2022-10-18,15.06999969482422,15.4399995803833,14.5,14.8100004196167,250300,S,14.529999961853028
2022-10-31,15.300000190734863,16.829999923706055,15.130000114440918,16.1200008392334,991700,B,15.680000076293943
2022-11-03,15.859999656677246,16.989999771118164,15.56999969482422,16.329999923706055,808100,S,16.950000762939446
2022-11-29,11.850000381469728,12.399999618530272,11.729999542236328,12.130000114440918,183000,B,12.039999732971191
2022-11-30,12.109999656677246,12.220000267028809,11.550000190734863,11.710000038146973,1606500,S,11.64999984741211
2022-12-07,12.079999923706056,12.81999969482422,12.06999969482422,12.649999618530272,363600,B,12.360000381469728
2022-12-12,11.869999885559082,12.149999618530272,11.1899995803833,11.40999984741211,499100,S,11.590000381469729
2023-01-23,11.8100004196167,12.369999885559082,11.8100004196167,12.010000228881836,301300,B,12.320000419616699
2023-02-02,13.369999885559082,13.979999542236328,13.260000228881836,13.649999618530272,268000,S,13.830000877380371
2023-02-22,13.130000114440918,14.479999542236328,13.130000114440918,14.479999542236328,1216200,B,13.470000038146972
2023-02-23,14.479999542236328,14.949999809265137,14.079999923706056,14.260000228881836,1086200,S,14.500000953674316
2023-04-11,11.15999984741211,12.0,11.15999984741211,11.899999618530272,1034200,B,11.60000015258789
2023-04-12,11.989999771118164,12.760000228881836,11.989999771118164,12.25,348200,S,12.710000991821289
