Date,Open,High,Low,Close,Volume,EMA9,buy_sell,price
2000-01-17,4.25,4.25,4.0,4.0,6656000000,3.6800000000000006,B,4.01
2000-01-21,3.75,3.75,3.5,3.75,7140000000,3.8045280000000012,S,3.74
2000-02-10,3.75,4.25,3.75,4.0,5840000000,3.7745102395055756,B,3.76
2000-02-15,3.75,3.75,3.5,3.75,5980000000,3.7625492426268554,S,3.74
2000-03-14,3.5,3.75,3.5,3.75,7036000000,3.544984606128282,B,3.51
2000-03-15,3.75,3.75,3.5,3.5,3704000000,3.535987684902626,S,3.74
2000-05-30,3.0,3.25,3.0,3.0,2528000000,2.942638185705805,B,3.01
2000-07-13,3.75,3.75,3.5,3.5,6424000000,3.796951054968976,S,3.74
2000-08-07,4.0,4.25,4.0,4.0,5412000000,3.908997053628309,B,4.01
2000-09-12,7.193448066711426,7.248782157897949,6.972111225128174,7.027444839477539,1744652808,7.139560440787875,S,7.072778930664064
2000-10-30,6.30810022354126,6.418768882751465,6.197432041168213,6.363434791564941,667362816,6.290941240853204,B,6.373434791564941
2000-11-01,6.197432041168213,6.252766132354736,5.976095199584961,6.086763858795166,244604520,6.2351442924919995,S,6.13209794998169
2000-11-21,5.976095199584961,6.252766132354736,5.9207611083984375,6.252766132354736,469347912,5.959699917139151,B,5.986095199584961
2000-11-24,5.976095199584961,5.976095199584961,5.754757881164551,5.9207611083984375,465914232,5.977882348786183,S,5.855427017211914
2000-12-05,5.754757881164551,5.976095199584961,5.699423789978027,5.976095199584961,503142552,5.736717839153923,B,5.709423789978027
2001-01-02,6.640106201171875,6.750773906707764,6.363434791564941,6.584772109985352,1039609872,6.592457268076319,S,6.519437065124512
2001-01-18,6.750773906707764,6.972111225128174,6.69543981552124,6.91677713394165,912617928,6.635438771743438,B,6.816107997894287
2001-02-01,6.640106201171875,6.750773906707764,6.418768882751465,6.529437065124512,797011344,6.722272135620959,S,6.630106201171875
2001-03-26,5.810091972351074,5.976095199584961,5.699423789978027,5.810091972351074,375409656,5.7171734007272175,B,5.764757881164551
2001-03-29,5.422752857208252,5.754757881164551,5.422752857208252,5.422752857208252,565328304,5.65848955317551,S,5.523421039581299
2001-04-06,5.644090175628662,5.754757881164551,5.533421039581299,5.644090175628662,427312440,5.587165303536773,B,5.709423789978027
2001-04-12,5.644090175628662,5.644090175628662,5.478086948394775,5.644090175628662,266724648,5.638834685519825,S,5.523421039581299
2001-05-04,5.312084197998047,5.588756084442139,5.256750106811523,5.422752857208252,594261576,5.223053454619471,B,5.432752857208252
2001-05-11,5.312084197998047,5.3674187660217285,5.035412788391113,5.146081924438477,356650920,5.242131707523381,S,5.080747833251953
2001-06-05,4.758741855621338,4.869410991668701,4.703407764434815,4.814076900482178,161617896,4.698033795786273,B,4.8240769004821775
2001-06-19,4.703407764434815,4.703407764434815,4.537405014038086,4.648074150085449,257399496,4.790575673376624,S,4.638074150085449
2001-07-16,4.537405014038086,4.758741855621338,4.537405014038086,4.703407764434815,168178032,4.601682605166798,B,4.713407764434815
2001-07-18,4.648074150085449,4.703407764434815,4.426736831665039,4.592740058898926,198755856,4.607316743100208,S,4.527405014038086
2001-10-10,2.766710042953491,2.822045087814331,2.711375951766968,2.766710042953491,183376584,2.7583646318917108,B,2.776710042953491
2002-01-08,4.426736831665039,4.4820709228515625,4.371403217315674,4.426736831665039,217279656,4.520017692511414,S,4.416736831665039
2002-02-14,4.0393967628479,4.09473180770874,3.928729057312012,4.09473180770874,287670096,3.9796704585591023,B,4.0493967628479
2002-03-07,4.371403217315674,4.426736831665039,4.260734081268311,4.31606912612915,444155544,4.361799013750272,S,4.306069126129151
