Date,Open,High,Low,Close,Volume,buy_sell,price
2000-01-05,10164.333984375,10164.333984375,9757.7607421875,10028.8095703125,1664644,B,9974.589609375
2000-01-07,10164.333984375,10462.48828125,10083.01953125,10191.439453125,1373183,S,10297.1584375
2000-01-11,10001.705078125,10028.8095703125,9378.2919921875,9459.607421875,3105712,B,9866.1706640625
2000-01-17,10186.0185546875,10218.5439453125,9811.970703125,9947.4951171875,786204,S,10028.8195703125
2000-01-19,9852.6279296875,10023.388671875,9676.4462890625,9839.0751953125,1062907,B,9703.54078125
2000-01-27,9215.6630859375,9351.1875,8866.009765625,8944.6142578125,843758,S,9283.4348046875
2000-01-28,8944.6142578125,9025.9287109375,8565.1455078125,8660.0126953125,710203,B,8865.999765625
2000-02-03,8673.5654296875,8809.08984375,8185.67724609375,8345.595703125,3453988,S,8727.785390625
2000-02-07,8402.5166015625,8592.2509765625,8104.3623046875,8578.6982421875,13891957,B,8185.66724609375
2000-02-08,8670.8544921875,9161.453125,8646.4599609375,8971.71875,13153713,S,8673.5754296875
2000-02-11,9218.3740234375,9459.607421875,8809.08984375,8860.5888671875,2428712,B,8836.1843359375
2000-02-17,8673.5654296875,8809.08984375,8510.935546875,8510.935546875,1242211,S,8781.994375
2000-02-18,8510.935546875,8510.935546875,8294.0966796875,8402.5166015625,2816834,B,8483.8210546875
2000-02-22,8670.8544921875,8673.5654296875,8321.201171875,8369.990234375,1973813,S,8592.2609765625
2000-02-25,8375.4111328125,8483.8310546875,8226.3349609375,8266.9921875,1503418,B,8266.9821875
2000-03-09,8077.2578125,8402.5166015625,8050.15283203125,8077.2578125,3313423,S,7968.847890625
2000-03-14,8318.4912109375,8402.5166015625,8001.36376953125,8023.0478515625,1663537,B,8131.45728515625
2000-03-16,8342.8857421875,8456.7265625,8239.88671875,8432.33203125,2667046,S,8402.5266015625
2000-03-22,8673.5654296875,8809.08984375,8348.306640625,8402.5166015625,2321351,B,8375.4011328125
2000-03-27,8619.35546875,8619.35546875,8239.88671875,8272.4130859375,1718877,S,8483.8410546875
2000-03-31,8402.5166015625,8429.62109375,8055.57373046875,8261.5712890625,1455825,B,8239.87671875
2000-04-07,7800.78759765625,7968.837890625,7697.7890625,7968.837890625,706145,S,7806.21849609375
