Date,Open,High,Low,Close,Volume,buy_sell,price
2017-10-10,16.049999237060547,16.280000686645508,16.010000228881836,16.18000030517578,3667200,B,16.1300008392334
2017-10-16,16.190000534057617,16.3700008392334,15.720000267028809,15.779999732971191,1823800,S,15.889999618530272
2017-10-20,16.239999771118164,16.600000381469727,16.200000762939453,16.360000610351562,1421500,B,16.409999618530275
2017-10-27,16.049999237060547,16.399999618530273,15.81999969482422,16.209999084472656,1335700,S,15.859999885559082
2017-12-05,15.359999656677246,15.710000038146973,15.149999618530272,15.449999809265137,1440700,B,15.560000190734863
2017-12-14,15.270000457763672,15.489999771118164,15.050000190734863,15.15999984741211,2662000,S,15.0500004196167
2017-12-18,15.399999618530272,15.59000015258789,15.109999656677246,15.170000076293944,2091700,B,15.4499995803833
2017-12-19,15.220000267028809,15.350000381469728,14.68000030517578,14.699999809265137,2494700,S,15.069999923706057
2018-02-19,15.0,15.050000190734863,14.760000228881836,14.899999618530272,662800,B,14.970000038146972
2018-02-20,14.890000343322754,14.890000343322754,14.43000030517578,14.460000038146973,5627800,S,14.660000076293944
2018-03-02,14.859999656677246,15.199999809265137,14.550000190734863,14.989999771118164,2008800,B,14.989999542236328
2018-03-14,14.949999809265137,14.960000038146973,14.449999809265137,14.81999969482422,1355200,S,14.540000190734863
2018-04-18,14.229999542236328,14.34000015258789,14.0600004196167,14.149999618530272,2806700,B,14.26
2018-04-23,14.34000015258789,14.869999885559082,14.34000015258789,14.699999809265137,1393500,S,14.670000076293945
2018-07-05,14.93000030517578,15.020000457763672,14.789999961853027,15.020000457763672,1631700,B,14.980000267028808
2018-07-11,14.710000038146973,14.880000114440918,14.510000228881836,14.6899995803833,1721400,S,14.590000381469729
2018-07-17,14.619999885559082,14.739999771118164,14.529999732971191,14.729999542236328,991100,B,14.680000076293943
2018-07-23,14.859999656677246,15.399999618530272,14.779999732971191,15.25,1399700,S,15.190000534057612
2018-07-26,15.479999542236328,16.149999618530273,15.300000190734863,15.59000015258789,5498600,B,15.339999923706056
2018-08-08,15.470000267028809,15.470000267028809,14.779999732971191,14.829999923706056,2050500,S,14.99
2018-09-06,14.68000030517578,15.029999732971191,14.5,14.93000030517578,2586400,B,14.69000030517578
2018-09-11,14.81999969482422,14.869999885559082,14.229999542236328,14.329999923706056,3212800,S,14.269999732971192
2018-09-27,14.649999618530272,15.010000228881836,14.550000190734863,14.829999923706056,1437600,B,14.720000038146972
2018-10-03,15.3100004196167,15.699999809265137,15.039999961853027,15.170000076293944,1557800,S,15.289999961853031
2018-11-29,16.149999618530273,16.8799991607666,16.149999618530273,16.700000762939453,4674700,B,16.180000076293947
2018-11-30,16.700000762939453,17.299999237060547,16.690000534057617,16.899999618530273,5060000,S,16.75
2018-12-18,18.0,18.32999992370605,17.829999923706055,18.149999618530277,4373100,B,18.16999984741211
2018-12-19,18.290000915527344,18.290000915527344,17.520000457763672,17.520000457763672,3630600,S,17.69000076293945
2018-12-21,17.920000076293945,18.25,17.719999313354492,18.020000457763672,2138500,B,18.149999389648443
2018-12-26,18.0,18.0,17.469999313354492,17.56999969482422,1125400,S,17.590000381469725
2019-01-09,18.670000076293945,19.3799991607666,18.670000076293945,19.11000061035156,3138100,B,19.100000152587892
2019-01-18,19.940000534057617,20.559999465942383,19.649999618530277,19.799999237060547,4079300,S,20.049999237060554
2019-01-24,19.950000762939453,20.13999938964844,19.81999969482422,20.01000022888184,2095800,B,19.98999954223633
2019-02-06,19.739999771118164,19.739999771118164,19.059999465942383,19.170000076293945,2812500,S,19.539999237060545
2019-02-20,19.899999618530277,20.420000076293945,19.86000061035156,20.0,2466500,B,19.91999984741211
2019-02-25,20.43000030517578,20.8700008392334,20.26000022888184,20.649999618530277,1818400,S,20.50999832153321
2019-03-13,19.670000076293945,20.020000457763672,19.57999992370605,20.020000457763672,2924300,B,19.72999931335449
2019-03-18,20.11000061035156,20.84000015258789,20.09000015258789,20.690000534057617,5429400,S,20.439996719360348
2019-04-03,20.18000030517578,20.61000061035156,20.1299991607666,20.149999618530277,1498000,B,20.29000068664551
2019-04-08,20.040000915527344,20.239999771118164,19.799999237060547,20.149999618530277,2526700,S,19.92000030517578
2019-04-26,21.190000534057617,21.309999465942383,21.0,21.11000061035156,2936900,B,21.15999961853028
2019-05-09,21.149999618530277,21.200000762939453,20.3799991607666,20.559999465942383,4640400,S,20.49
2019-06-05,23.11000061035156,23.57999992370605,23.040000915527344,23.15999984741211,2532200,B,23.149999389648443
2019-06-11,23.200000762939453,23.3700008392334,22.34000015258789,23.1200008392334,10149900,S,22.770000686645506
2019-07-10,22.90999984741211,23.540000915527344,22.86000061035156,23.489999771118164,4411900,B,22.97999931335449
2019-07-25,23.399999618530277,24.1200008392334,22.920000076293945,23.100000381469727,3221900,S,24.089998245239247
2019-10-15,19.31999969482422,19.559999465942383,19.15999984741211,19.399999618530277,2924100,B,19.37000061035156
2019-10-21,19.520000457763672,20.059999465942383,19.399999618530277,19.90999984741211,2728300,S,19.920001983642575
2019-12-06,19.01000022888184,19.88999938964844,18.93000030517578,19.729999542236328,4358700,B,19.15999961853028
2019-12-09,19.700000762939453,20.07999992370605,19.5,19.63999938964844,3316300,S,19.929998397827152
2019-12-17,21.15999984741211,21.5,20.82999992370605,21.46999931335449,4659000,B,21.20000053405762
2019-12-18,21.549999237060547,22.540000915527344,21.11000061035156,22.309999465942383,6732100,S,22.15000343322754
2019-12-20,22.489999771118164,23.020000457763672,22.200000762939453,23.0,4475700,B,22.530000457763673
2020-01-03,23.81999969482422,24.770000457763672,23.61000061035156,24.549999237060547,15378900,S,24.040000915527337
2020-01-29,23.399999618530277,23.65999984741211,23.1200008392334,23.600000381469727,2270300,B,23.399999389648443
2020-01-31,22.799999237060547,23.059999465942383,22.18000030517578,22.59000015258789,3873700,S,22.680000534057616
2020-03-17,17.829999923706055,20.700000762939453,17.459999084472656,19.799999237060547,9962700,B,18.30999923706055
2020-03-18,18.270000457763672,20.8799991607666,16.950000762939453,20.190000534057617,8384000,S,17.250000228881834
2020-06-19,19.299999237060547,19.8700008392334,19.21999931335449,19.809999465942383,8669200,B,19.350000152587892
2020-07-01,19.770000457763672,20.59000015258789,19.729999542236328,19.940000534057617,5109300,S,20.420001983642578
2020-07-06,20.540000915527344,20.540000915527344,20.059999465942383,20.059999465942383,4909500,B,20.339999923706053
2020-07-07,20.040000915527344,20.31999969482422,19.709999084472656,19.899999618530277,4165400,S,19.899999847412108
2020-08-19,20.100000381469727,20.100000381469727,19.600000381469727,19.649999618530277,4123600,B,20.100000152587892
2020-08-20,19.200000762939453,19.86000061035156,19.020000457763672,19.86000061035156,5008200,S,19.410000076293944
2020-09-01,19.6299991607666,20.200000762939453,19.540000915527344,20.200000762939453,10390300,B,19.76
2020-09-02,20.5,20.75,20.190000534057617,20.520000457763672,10572000,S,20.450000762939446
