Date,Open,High,Low,Close,Volume,RSI2,buy_sell,price
2000-01-26,920.0,925.0,900.0,900.0,170000,3.9855327675565633,B,900.0
2000-02-04,860.0,873.0,860.0,870.0,1730000,77.98699511588302,S,869.01
2000-02-08,873.0,877.0,850.0,855.0,4010000,21.237000378800147,B,855.0
2000-02-16,805.0,825.0,804.0,815.0,5240000,36.81732899943478,S,820.01
2000-02-28,850.0,850.0,835.0,835.0,1120000,4.113773763181996,B,835.0
2000-03-08,810.0,810.0,804.9000244140625,804.9000244140625,1540000,0.7519851508909596,S,804.9000244140625
2000-03-09,805.0,805.0,805.0,805.0,20000,2.4251731630274946,B,805.0
2000-03-15,764.9000244140625,782.0,760.0,782.0,550000,60.78298367549189,S,780.01
2000-03-28,845.0,845.0,800.0,800.0,190000,7.540288465448114,B,800.0
2000-04-05,825.0,825.0,820.0,820.0,120000,81.64854032581033,S,800.01
2000-04-10,810.0,810.0,800.0,800.0,660000,20.06592772155419,B,800.0
2000-04-12,780.0,850.0,780.0,781.0,60000,13.217897818585087,S,810.01
2000-04-17,775.0,775.0,770.0,770.0,410000,17.56318890374186,B,770.0
2000-04-18,790.0,840.0,785.0,795.0,1130000,69.93484682493882,S,783.51
2000-05-02,2.136751890182495,2.136751890182495,1.9306180477142332,1.9607839584350584,65,0.46522333707126506,B,1.9607839584350584
2000-05-11,2.0361990928649902,2.0361990928649902,2.0110599994659424,2.0160880088806152,276,1.4524188859034268,S,2.0160880088806152
2000-05-12,1.9607839584350584,2.0110599994659424,1.9607839584350584,2.0110599994659424,27,1.4501896437700594,B,2.0110599994659424
2000-05-15,2.0100550651550293,2.1116130352020264,2.0100550651550293,2.1116130352020264,111,7.150197320342045,S,2.04619909286499
2000-05-16,2.086474895477295,2.086474895477295,2.0110599994659424,2.0110599994659424,676,6.408837716504507,B,2.0110599994659424
2000-05-25,1.9105069637298584,1.9105069637298584,1.784816026687622,1.809954047203064,67,2.193082375513967,S,1.870231041908264
2000-06-08,2.0100550651550293,2.0110599994659424,1.8903969526290891,1.9014580249786377,495,4.736589743435218,B,1.9014580249786377
2000-06-19,1.845147967338562,1.845147967338562,1.7596780061721802,1.8350930213928225,1078,3.426468191066121,S,1.8350930213928225
