Date,Open,High,Low,Close,Volume,buy_sell,price
2005-06-15,39.96482849121094,39.96482849121094,39.96482849121094,39.96482849121094,100088,B,60.10709594726563
2009-04-02,32.481414794921875,32.481414794921875,32.481414794921875,32.481414794921875,100,S,31.082656631469728
2015-06-30,73.5199966430664,73.5199966430664,73.5199966430664,73.5199966430664,100,B,74.97999786376953
2016-05-10,47.0099983215332,47.0099983215332,47.0099983215332,47.0099983215332,200,S,40.340001831054686
2017-01-03,46.0,46.0,46.0,46.0,300,B,46.999998321533205
2017-02-01,110.0,110.0,110.0,110.0,100,S,46.01
2017-03-29,85.0,85.0,85.0,85.0,100,B,109.99
2017-05-05,128.6999969482422,128.6999969482422,128.6999969482422,128.6999969482422,100,S,72.51
2017-05-19,85.01000213623047,85.01000213623047,85.01000213623047,85.01000213623047,100,B,129.99
2018-02-07,90.0,90.0,90.0,90.0,300,S,84.99999786376954
2018-10-23,85.01000213623047,85.01000213623047,85.01000213623047,85.01000213623047,500,B,89.99
2019-01-28,94.01000213623048,94.01000213623048,94.01000213623048,94.01000213623048,100,S,85.02000213623047
2019-02-11,82.0199966430664,82.0199966430664,82.0199966430664,82.0199966430664,300,B,94.00000213623048
2019-07-12,92.0,94.5,92.0,94.5,400,S,91.01
2019-09-30,90.0,90.0,90.0,90.0,100,B,99.99
2019-11-04,89.98999786376953,89.98999786376953,89.98999786376953,89.98999786376953,200,S,81.51
2019-11-21,89.98999786376953,89.98999786376953,89.9800033569336,89.9800033569336,500,B,89.97999786376953
2019-11-27,90.0,90.0,86.0,86.0,300,S,89.9900033569336
2019-12-03,79.0,89.98999786376953,79.0,89.98999786376953,200,B,85.99
2020-01-09,91.16000366210938,91.16000366210938,91.16000366210938,91.16000366210938,200,S,88.88999725341797
2020-01-10,85.0,95.0,85.0,90.9000015258789,700,B,86.99
2020-01-27,94.5,94.5,94.5,94.5,100,S,90.02000213623047
2020-02-13,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,100,B,94.49
2020-02-18,88.16000366210938,88.16000366210938,88.16000366210938,88.16000366210938,100,S,87.02000213623047
2020-02-27,82.0,82.0,82.0,82.0,100,B,88.15000366210937
2020-03-13,62.06999969482422,68.0,57.0,65.5,1909200,S,65.59999633789063
2020-03-19,58.09999847412109,69.4800033569336,54.47999954223633,64.45999908447266,2548900,B,57.499998321533205
2020-03-20,67.0999984741211,69.5,62.0099983215332,67.2300033569336,2395000,S,69.4900033569336
2020-03-26,69.75,69.80999755859375,65.91000366210938,66.31999969482422,2439400,B,68.11000274658203
2020-03-31,63.869998931884766,66.48999786376953,63.869998931884766,66.33999633789062,1018000,S,66.39999938964844
2020-04-01,65.30000305175781,65.5,62.59999847412109,63.95000076293945,1353000,B,62.749998321533205
2020-04-02,63.900001525878906,67.19999694824219,63.2599983215332,64.98999786376953,1768700,S,66.49999786376954
2020-04-03,65.31999969482422,65.33000183105469,61.84000015258789,62.90999984741211,1726900,B,62.58999847412109
2020-04-07,67.19999694824219,69.5,65.66000366210938,65.76000213623047,1406800,S,65.99999786376954
2020-04-08,65.80999755859375,66.69000244140625,63.09999847412109,66.0,1714100,B,64.25000213623046
2020-04-17,65.4800033569336,65.4800033569336,63.38999938964844,64.0,1024000,S,65.05000091552735
2020-04-24,69.01000213623047,69.01000213623047,63.060001373291016,67.30000305175781,2439500,B,65.08999847412109
2020-04-28,70.0,71.1500015258789,66.88999938964844,67.04000091552734,1930500,S,69.9900033569336
2020-04-29,67.20999908447266,68.27999877929688,66.0,67.5999984741211,1559100,B,66.07000183105468
2020-05-11,8.671506881713867,8.791999816894531,8.609274864196777,8.728443145751953,12036887,S,8.749035606384277
2020-05-13,8.739035606384277,8.739035606384277,8.417281150817871,8.460975646972656,10179016,B,8.596625556945801
2020-05-22,7.413615226745605,7.994894027709961,7.381836891174316,7.575154781341553,19173830,S,7.473931083679199
2020-06-08,8.872770309448242,8.937649726867676,8.71652603149414,8.871445655822754,15893857,B,8.795240631103516
