Date,Open,High,Low,Close,Volume,buy_sell,price
2019-05-21,11.199999809265137,11.390000343322754,11.119999885559082,11.300000190734863,253500,B,11.299999961853027
2019-05-23,11.84000015258789,12.210000038146973,11.289999961853027,11.300000190734863,1121200,S,11.910000801086426
2019-05-29,11.6899995803833,11.779999732971191,11.40999984741211,11.699999809265137,497500,B,11.60000015258789
2019-06-19,11.890000343322754,12.329999923706056,11.800000190734863,12.300000190734863,221700,S,12.170000076293945
2019-07-08,14.300000190734863,14.779999732971191,14.199999809265137,14.779999732971191,1069800,B,14.379999885559082
2019-07-10,14.850000381469728,15.5,14.8100004196167,15.300000190734863,1494100,S,15.109999656677246
2019-07-22,15.4399995803833,15.960000038146973,15.4399995803833,15.800000190734863,718100,B,15.749999771118164
2019-07-29,16.31999969482422,16.8799991607666,16.309999465942383,16.760000228881836,1345200,S,16.739999771118164
2019-08-27,19.0,19.399999618530277,18.5,18.899999618530277,710600,B,18.82999969482422
2019-08-30,20.489999771118164,21.09000015258789,20.46999931335449,20.75,944900,S,20.46999931335449
2019-10-04,21.600000381469727,22.850000381469727,21.520000457763672,22.200000762939453,953700,B,21.999999771118166
2019-10-09,21.88999938964844,22.07999992370605,20.850000381469727,21.030000686645508,1216800,S,21.449999084472655
2019-10-11,21.06999969482422,22.049999237060547,21.06999969482422,21.770000457763672,1753000,B,21.389999160766603
2019-10-14,22.040000915527344,22.979999542236328,21.729999542236328,22.8700008392334,922100,S,22.199998855590827
2019-10-17,23.790000915527344,24.13999938964844,23.670000076293945,23.770000457763672,493800,B,23.91999984741211
2019-10-22,24.71999931335449,25.600000381469727,24.5,25.399999618530277,754400,S,25.569999694824226
2019-12-19,33.20000076293945,33.70000076293945,32.900001525878906,33.349998474121094,679700,B,33.39000106811523
2019-12-23,33.2599983215332,35.0,33.2599983215332,34.599998474121094,827300,S,34.820003509521484
2020-01-02,35.40999984741211,37.43000030517578,35.290000915527344,37.43000030517578,1312600,B,35.44999862670898
2020-01-03,37.0,38.77000045776367,36.52999877929688,37.970001220703125,2515300,S,36.52999877929688
2020-01-07,38.0,38.650001525878906,38.0,38.650001525878906,929800,B,38.51
2020-01-14,40.45000076293945,42.02000045776367,40.2599983215332,41.77000045776367,1956900,S,41.18000030517578
2020-01-21,40.7400016784668,41.5,40.34999847412109,40.79999923706055,1445700,B,41.28000045776367
2020-01-27,39.41999816894531,40.36000061035156,38.2400016784668,39.70000076293945,1317600,S,39.49
2020-02-03,39.45000076293945,42.29999923706055,39.45000076293945,42.20000076293945,1703600,B,40.2699983215332
2020-02-04,42.84000015258789,44.4900016784668,42.79999923706055,44.0,2134900,S,42.79999923706055
2020-02-17,47.459999084472656,49.0,46.970001220703125,49.0,907700,B,47.820001373291014
2020-02-19,49.45000076293945,50.93999862670898,49.13999938964844,50.93000030517578,2000400,S,50.91000747680664
2020-04-17,24.770000457763672,25.6299991607666,24.239999771118164,25.030000686645508,2043800,B,25.57999969482422
2020-04-22,27.5,31.13999938964844,27.489999771118164,30.6200008392334,4273300,S,29.189998626708977
