Date,Open,High,Low,Close,Volume
2020-10-26,9.359999656677246,9.390000343322754,9.149999618530273,9.25,8491100
2020-10-27,9.199999809265137,9.25,9.149999618530273,9.25,681500
2020-10-28,9.220000267028809,9.220000267028809,8.949999809265137,9.0,1134900
2020-10-29,8.960000038146973,9.050000190734863,8.880000114440918,9.050000190734863,837300
2020-10-30,9.050000190734863,9.050000190734863,8.920000076293945,9.050000190734863,903600
2020-11-03,9.09000015258789,9.380000114440918,9.09000015258789,9.279999732971191,319200
2020-11-04,9.369999885559082,9.75,9.25,9.75,326100
2020-11-05,9.75,11.09000015258789,9.75,11.09000015258789,478800
2020-11-06,10.699999809265137,11.09000015258789,10.529999732971191,11.050000190734863,231500
2020-11-09,11.109999656677246,11.5600004196167,11.050000190734863,11.399999618530273,246500
2020-11-10,11.510000228881836,12.25,11.510000228881836,12.0,143800
2020-11-11,12.050000190734863,12.5,11.949999809265137,12.199999809265137,153900
2020-11-12,12.199999809265137,12.380000114440918,11.600000381469727,11.600000381469727,195600
2020-11-13,11.699999809265137,12.029999732971191,11.399999618530273,11.399999618530273,157100
2020-11-16,11.880000114440918,12.0,11.199999809265137,11.199999809265137,102600
2020-11-17,11.199999809265137,11.520000457763672,11.0,11.390000343322754,70200
2020-11-18,11.390000343322754,11.449999809265137,11.100000381469727,11.319999694824219,41400
2020-11-19,11.739999771118164,11.739999771118164,11.039999961853027,11.1899995803833,57600
2020-11-23,11.0,11.300000190734863,10.899999618530273,10.899999618530273,73600
2020-11-24,10.90999984741211,11.399999618530273,10.600000381469727,11.399999618530273,110200
2020-11-25,11.359999656677246,11.710000038146973,11.0,11.0,70700
2020-11-26,11.020000457763672,11.329999923706055,11.0,11.140000343322754,103700
2020-11-27,11.239999771118164,11.239999771118164,11.010000228881836,11.220000267028809,173600
2020-11-30,11.220000267028809,11.300000190734863,10.930000305175781,11.300000190734863,104800
2020-12-01,11.300000190734863,11.399999618530273,10.970000267028809,11.289999961853027,184200
2020-12-02,11.289999961853027,11.300000190734863,11.149999618530273,11.300000190734863,74500
2020-12-03,11.359999656677246,12.449999809265137,11.050000190734863,11.449999809265137,473100
2020-12-04,11.550000190734863,11.819999694824219,11.350000381469727,11.430000305175781,141600
2020-12-07,11.569999694824219,11.569999694824219,11.15999984741211,11.420000076293945,126300
2020-12-08,11.430000305175781,11.800000190734863,11.300000190734863,11.800000190734863,57600
