Date,Open,High,Low,Close,Volume,buy_sell,price
2000-01-10,5999.39990234375,6239.3759765625,5949.4052734375,6189.380859375,202220,B,6199.3898828125
2000-01-31,5309.46923828125,5399.4599609375,5159.48388671875,5349.46484375,78507,S,5199.46998046875
2000-02-04,5199.47998046875,5599.43994140625,5199.47998046875,5399.4599609375,113911,B,5299.48021484375
2000-02-08,5449.455078125,6299.3701171875,5449.455078125,6249.375,597659,S,6099.39013671875
2000-02-17,11398.8603515625,11098.8896484375,10748.9248046875,10848.9150390625,212721,B,10748.9348046875
2000-02-21,10498.9501953125,10698.9296875,9699.0302734375,10698.9296875,130713,S,10178.972421875
2000-03-03,8999.099609375,9499.0498046875,8899.1103515625,9499.0498046875,123912,B,9399.070546875
2000-03-15,9339.06640625,9339.06640625,8499.150390625,8749.125,39003,S,8599.1296484375
2000-03-17,9049.0947265625,9799.0205078125,9049.0947265625,9699.0302734375,70907,B,9099.09984375
2000-03-22,10498.9501953125,10898.91015625,10498.9501953125,10678.931640625,151115,S,10778.921875
2000-04-19,7179.2822265625,7179.2822265625,6659.333984375,6799.31982421875,110411,B,6939.31615234375
2000-05-09,6299.3701171875,6319.3681640625,6049.39501953125,6179.3818359375,103010,S,6149.37525390625
2000-05-16,6199.3798828125,6399.35986328125,6149.38525390625,6339.3662109375,142314,B,6299.3801171875
2000-05-19,5799.419921875,5839.416015625,5499.4501953125,5839.416015625,118611,S,5699.42017578125
2000-05-26,5199.47998046875,5699.43017578125,5099.490234375,5499.4501953125,52405,B,5399.4699609375
2000-05-31,6449.35498046875,7849.21484375,6349.365234375,7189.28125,1053805,S,6499.349609375
2000-06-09,7429.2568359375,7999.2001953125,7429.2568359375,7999.2001953125,500150,B,7559.254140625
2000-07-06,8589.140625,9289.0712890625,8499.150390625,9199.080078125,548154,S,8879.1123046875
2000-07-21,8489.1513671875,8699.1298828125,8199.1796875,8689.130859375,163516,B,8499.160390625
2000-07-24,8989.1015625,9789.021484375,8989.1015625,9789.021484375,633563,S,9759.0234375
2000-08-04,9699.0302734375,9749.025390625,9299.0703125,9349.0654296875,34103,B,9659.0441796875
2000-09-27,8799.1201171875,8879.1123046875,8099.18994140625,8239.17578125,181118,S,8499.140390625
2000-10-06,8599.1396484375,8599.1396484375,7999.2001953125,8119.18798828125,175217,B,8239.18578125
2000-10-13,7709.22900390625,7799.22021484375,7409.25927734375,7529.2470703125,60306,S,7799.21021484375
