Date,Open,High,Low,Close,Volume,buy_sell,price
2000-01-17,2.444443941116333,2.52222204208374,2.4111111164093018,2.504443883895874,2023650,B,2.498888025283813
2000-01-19,2.400000095367432,2.44666600227356,2.3333330154418945,2.366666078567505,2295000,S,2.345555057525635
2000-01-21,2.5333330631256104,2.5333330631256104,2.400000095367432,2.488888025283813,883800,B,2.52111102104187
2000-01-28,2.4222218990325928,2.4222218990325928,2.244443893432617,2.3555550575256348,668700,S,2.3233330154418947
2000-02-02,2.377777099609375,2.400000095367432,2.244443893432617,2.377777099609375,468900,B,2.387777099609375
2000-02-15,2.222222089767456,2.222222089767456,2.1111109256744385,2.200000047683716,2307600,S,2.190000047683716
2000-02-17,2.2888879776000977,2.3444440364837646,2.2888879776000977,2.319999933242798,1239300,B,2.321110973358154
2000-02-28,2.1222219467163086,2.1222219467163086,2.088887929916382,2.0999999046325684,451800,S,2.1011109256744387
2000-03-08,2.0377769470214844,2.1333329677581787,2.0377769470214844,2.0444440841674805,1197900,B,2.0988879299163816
2000-03-14,2.0,2.046665906906128,1.899999976158142,1.9555549621582031,622350,S,1.9233330392837524
2000-03-21,1.911110997200012,2.1533329486846924,1.911110997200012,2.0444440841674805,1740600,B,1.9988880252838133
2000-04-11,1.9222220182418823,1.944443941116333,1.888888001441956,1.911110997200012,959400,S,1.901110997200012
2000-04-24,1.7555550336837769,1.7555550336837769,1.6911109685897827,1.7111109495162964,1261800,B,1.7522219514846802
2000-04-27,1.671110987663269,1.6822220087051392,1.6399999856948853,1.666666030883789,2937600,S,1.6544439697265625
2000-05-02,1.7311110496520996,1.7999999523162842,1.7111109495162964,1.7111109495162964,1858500,B,1.7500000095367432
2000-05-05,1.8666659593582156,2.0444440841674805,1.8644440174102783,1.9777770042419436,2445750,S,1.9933321475982666
2000-05-24,1.655555009841919,1.7555550336837769,1.6444439888000488,1.7555550336837769,1033200,B,1.7433329916000366
2000-06-16,1.7022219896316528,1.7022219896316528,1.602221965789795,1.6444439888000488,8717850,S,1.601111044883728
2000-06-20,1.7222219705581665,1.7555550336837769,1.7111109495162964,1.7555550336837769,2733300,B,1.7411110496520996
2000-07-05,2.02222204208374,2.059999942779541,2.015554904937744,2.0333330631256104,4651200,S,2.0599992275238037
2000-07-18,2.0666658878326416,2.0999999046325684,2.0666658878326416,2.0799999237060547,2913750,B,2.0988879299163816
2000-08-08,2.2666659355163574,2.3555550575256348,2.26444411277771,2.3399999141693115,1746900,S,2.3555538654327393
2000-08-25,2.444443941116333,2.5,2.444443941116333,2.466665983200073,2085750,B,2.444443941116333
2000-09-01,2.377777099609375,2.4955549240112305,2.3333330154418945,2.444443941116333,2385900,S,2.345555057525635
2000-09-05,2.52222204208374,2.5333330631256104,2.488888025283813,2.524444103240967,859050,B,2.5322220420837396
2000-09-20,2.3755550384521484,2.384443998336792,2.3222219944000244,2.3333330154418945,1381500,S,2.3233330154418947
2000-09-29,2.366666078567505,2.4200000762939453,2.3111109733581543,2.3333330154418945,1328400,B,2.387777099609375
2000-10-04,2.2777769565582275,2.3111109733581543,2.222222089767456,2.25333309173584,694800,S,2.2344438934326174
2000-10-06,2.366666078567505,2.377777099609375,2.3111109733581543,2.3333330154418945,1567800,B,2.366666078567505
2000-10-11,2.2666659355163574,2.2666659355163574,2.177777051925659,2.211111068725586,531450,S,2.2122220897674563
2000-10-30,2.200000047683716,2.2177770137786865,2.1333329677581787,2.200000047683716,574650,B,2.1855549907684324
2000-11-30,1.9133330583572388,1.9333330392837524,1.7777769565582275,1.7777769565582275,1037700,S,1.8344440364837649
2000-12-07,1.911110997200012,1.9777770042419436,1.9088879823684688,1.9777770042419436,1594350,B,1.9433330392837525
2001-01-03,1.99555504322052,2.3555550575256348,1.9911110401153564,2.2666659355163574,2014200,S,2.2888890504837036
2001-01-09,2.200000047683716,2.2666659355163574,2.200000047683716,2.259999990463257,2417400,B,2.2211110687255857
2001-01-31,2.5333330631256104,2.666666030883789,2.5333330631256104,2.644443988800049,3061800,S,2.633333206176758
2001-02-08,2.5555551052093506,2.6222219467163086,2.5333330631256104,2.5999999046325684,951750,B,2.585555086135864
2001-02-16,2.51111102104187,2.51111102104187,2.3333330154418945,2.488888025283813,1607850,S,2.4322221183776853
2001-03-02,2.400000095367432,2.488888025283813,2.400000095367432,2.4200000762939453,1010700,B,2.4766659832000726
2001-03-15,2.3022220134735107,2.3333330154418945,2.2888879776000977,2.3022220134735107,5987700,S,2.3011109733581545
2001-03-27,1.9888880252838133,2.1111109256744385,1.9666659832000728,1.9888880252838133,5365800,B,2.0544440841674803
2001-04-03,1.8355549573898315,1.9777770042419436,1.8222219944000244,1.8355549573898315,1473300,S,1.847776999473572
2001-04-05,2.02222204208374,2.02222204208374,1.911110997200012,2.02222204208374,931950,B,1.954443941116333
2001-04-23,1.9333330392837524,1.9333330392837524,1.8111109733581543,1.8666659593582156,3084750,S,1.8122219944000244
2001-04-26,1.888888001441956,1.937777042388916,1.884443998336792,1.919999957084656,2674800,B,1.9322220182418823
2001-05-08,1.888888001441956,1.906666040420532,1.7999999523162842,1.8088879585266116,4420350,S,1.8011109733581543
2001-05-17,1.5577770471572876,1.611111044883728,1.5466660261154177,1.5800000429153442,3212100,B,1.5877770280838013
2001-05-21,1.544443964958191,1.544443964958191,1.4333330392837524,1.4555549621582031,3491100,S,1.4411109590530395
2001-05-31,1.399999976158142,1.4622219800949097,1.399999976158142,1.444443941116333,2648700,B,1.399999976158142
2001-06-04,1.4822219610214231,1.51111102104187,1.4577770233154297,1.4733330011367798,4832550,S,1.5088881254196167
2001-06-08,1.51111102104187,1.5666660070419312,1.51111102104187,1.5266660451889038,6999750,B,1.52111102104187
2001-06-18,1.440000057220459,1.440000057220459,1.3600000143051147,1.399999976158142,3271050,S,1.385555019378662
2001-06-21,1.3977769613265991,1.486665964126587,1.3777769804000854,1.4777770042419434,2259450,B,1.4433330392837525
2001-07-10,1.4333330392837524,1.4333330392837524,1.340000033378601,1.3555550575256348,2591550,S,1.3455550575256348
2001-07-17,1.3444440364837646,1.444443941116333,1.3444440364837646,1.444443941116333,2400750,B,1.394443998336792
2001-08-21,1.3333330154418943,1.3333330154418943,1.2888879776000977,1.2999999523162842,1841400,S,1.3011109733581543
2001-10-22,0.9044439792633056,0.9444440007209778,0.8888880014419556,0.9399999976158142,3686400,B,0.9099999761581421
2001-10-30,0.8688880205154419,0.8888880014419556,0.8444439768791199,0.8711109757423401,2429100,S,0.8433329963684082
