Date,Open,High,Low,Close,Volume,buy_sell,price
2008-05-06,7.885134220123291,7.985073089599609,7.550341129302978,7.815177917480469,24412,B,7.905127773284912
2008-08-19,7.0956220626831055,7.470389842987059,6.995683193206787,7.470389842987059,125475,S,7.110605945587158
2008-11-04,4.347317218780518,4.64713191986084,4.257372856140137,4.497224807739258,153892,B,4.3823020553588865
2008-12-02,3.822640895843506,3.872610092163086,3.4478719234466557,3.822640895843506,196519,S,3.487840881347656
2009-04-14,3.677730083465576,3.772671937942505,3.5977799892425537,3.5977799892425537,25813,B,3.7476930713653567
2009-05-19,4.392289161682129,4.492228031158447,4.047502040863037,4.39728593826294,804293,S,4.3573110103607195
2010-10-05,6.196176052093506,6.745837211608887,6.196176052093506,6.640902042388916,47027,B,6.391062030792236
2010-11-30,6.061260223388672,6.131217002868652,5.646515846252441,6.081246852874756,35019,S,5.936331024169922
2012-11-20,5.246761798858643,5.346701145172119,5.106849193572998,5.346701145172119,4202,B,5.301734218597412
2012-12-04,5.446639060974121,5.986306190490723,5.441641807556152,5.841394901275635,33416,S,5.821406841278076
2013-07-02,5.695000171661377,5.949999809265137,5.5,5.619999885559082,168800,B,5.700000057220459
2013-09-10,5.5,5.525000095367432,5.300000190734863,5.474999904632568,5400,S,5.439999809265137
2014-04-22,3.400000095367432,3.400000095367432,3.3949999809265137,3.3949999809265137,2400,B,3.4049999809265135
2014-05-13,3.4049999713897705,3.890000104904175,3.4049999713897705,3.4749999046325684,11000,S,3.634999752044677
2015-08-11,2.1549999713897705,2.220000028610229,2.0,2.0,1191600,B,2.1649999713897703
2015-08-18,1.9850000143051147,2.0,1.875,1.8949999809265137,17600,S,1.9700000190734863
2016-07-05,2.674999952316284,2.75,2.650000095367432,2.674999952316284,15000,B,2.7100000476837156
2016-08-30,2.5,2.5999999046325684,2.424999952316284,2.494999885559082,81600,S,2.49
2016-09-20,2.190000057220459,2.3949999809265137,2.125,2.220000028610229,71000,B,2.254999885559082
2017-02-21,2.525000095367432,2.884999990463257,2.424999952316284,2.7049999237060547,454000,S,2.8749997615814205
2017-04-18,2.200000047683716,2.3499999046325684,2.174999952316284,2.2149999141693115,193800,B,2.254999885559082
2017-05-09,2.369999885559082,2.569999933242798,2.299999952316284,2.345000028610229,94800,S,2.424999713897705
2017-07-18,2.3399999141693115,2.515000104904175,2.309999942779541,2.5,145400,B,2.385
2018-01-30,2.6600000858306885,2.8399999141693115,2.5999999046325684,2.694999933242798,68000,S,2.7750000953674316
2019-09-03,6.139999866485596,6.300000190734863,6.005000114440918,6.050000190734863,144800,B,6.299999961853027
2019-10-08,5.400000095367432,5.900000095367432,5.275000095367432,5.900000095367432,63600,S,5.49
2020-04-07,5.445000171661377,5.71999979019165,5.099999904632568,5.574999809265137,64000,B,5.609999904632568
2020-08-25,7.0,8.0,7.0,7.755000114440918,1015200,S,7.799999713897705
2021-01-19,7.880000114440918,8.414999961853027,7.880000114440918,8.194999694824219,41600,B,8.1999995803833
2021-05-25,9.494999885559082,9.635000228881836,8.970000267028809,9.324999809265137,47000,S,9.569998741149902
2021-10-19,9.420000076293944,9.524999618530272,9.074999809265137,9.295000076293944,38800,B,9.47500015258789
2021-10-26,9.25,9.875,9.05500030517578,9.25,27600,S,9.0500004196167
2021-11-16,9.19499969482422,9.449999809265137,9.0,9.220000267028809,30600,B,9.20499969482422
2021-11-30,9.100000381469728,9.989999771118164,8.75,9.84000015258789,71900,S,8.769999732971192
2022-02-01,11.140000343322754,11.5,10.329999923706056,10.579999923706056,26100,B,11.499999771118164
2022-02-08,10.56999969482422,11.050000190734863,10.100000381469728,10.510000228881836,39500,S,10.3000004196167
2022-07-19,10.0,10.520000457763672,9.93000030517578,9.93000030517578,24700,B,10.409999618530271
2022-09-27,10.06999969482422,12.34000015258789,9.81999969482422,11.600000381469728,179900,S,11.719999313354487
