Date,Open,High,Low,Close,Volume,buy_sell,price
2018-05-14,5.578000068664551,6.196000099182129,5.464000225067139,5.920000076293945,50122500,B,5.6499998664855955
2018-06-11,5.564000129699707,5.693999767303467,5.130000114440918,5.400000095367432,31770000,S,5.27000020980835
2018-06-25,5.863999843597412,6.105999946594238,5.760000228881836,5.978000164031982,38920500,B,5.85000015258789
2018-08-13,5.389999866485596,5.46999979019165,4.800000190734863,4.880000114440918,77657500,S,5.120000114440918
2018-08-27,5.142000198364258,5.223999977111816,5.01200008392334,5.177999973297119,19211500,B,5.169999847412109
2018-09-10,5.165999889373779,5.239999771118164,4.760000228881836,4.765999794006348,15918500,S,4.7900001907348635
2018-10-15,4.888000011444092,5.24399995803833,4.559999942779541,5.050000190734863,29647500,B,5.036000022888183
2019-01-14,6.308000087738037,6.940000057220459,6.294000148773193,6.840000152587891,47034500,S,6.901999473571777
2019-04-01,6.184000015258789,6.296000003814697,5.730000019073486,5.75,36460500,B,6.240000019073486
2019-04-08,5.769999980926514,5.828000068664551,5.489999771118164,5.613999843597412,35366500,S,5.680000057220459
2019-04-22,5.665999889373779,5.984000205993652,5.585999965667725,5.909999847412109,29025500,B,5.740000019073486
2019-05-20,7.0,7.599999904632568,7.0,7.460000038146973,37176500,S,7.342000484466553
2019-07-08,7.906000137329102,8.760000228881836,7.765999794006348,8.39799976348877,29601000,B,8.077999839782715
2019-08-19,9.89799976348877,10.182000160217283,9.45199966430664,9.642000198364258,41395000,S,9.823999404907227
2019-09-23,10.399999618530272,10.727999687194824,10.276000022888184,10.640000343322754,54211000,B,10.466000328063965
2019-12-23,12.800000190734863,13.119999885559082,12.444000244140623,12.760000228881836,25222500,S,12.795998573303226
2020-04-13,9.57800006866455,10.847999572753906,9.44200038909912,10.479999542236328,58440500,B,10.680000076293943
2022-06-13,5.880000114440918,6.230000019073486,5.539999961853027,6.150000095367432,215782200,S,5.654000034332276
2022-08-08,6.480000019073486,7.800000190734863,6.28000020980835,7.71999979019165,327734700,B,6.790000209808349
2022-11-14,6.380000114440918,6.579999923706055,5.269999980926514,5.679999828338623,376223500,S,5.319999923706055
2023-01-30,4.619999885559082,5.239999771118164,4.5,4.630000114440918,345321100,B,4.72999979019165
2023-02-27,4.78000020980835,4.829999923706055,2.619999885559082,2.680000066757202,1054984400,S,4.069999923706055
