Date,Open,High,Low,Close,Volume,buy_sell,price
2021-02-01,9.56999969482422,10.15999984741211,9.399999618530272,10.029999732971191,3422500,B,9.739999542236328
2021-03-08,9.300000190734863,9.699999809265137,8.609999656677246,9.109999656677246,2182100,S,8.74
2021-04-05,8.6899995803833,8.739999771118164,8.329999923706055,8.479999542236328,2089400,B,8.459999809265137
2021-04-12,8.550000190734863,9.149999618530272,8.319999694824219,8.819999694824219,2567600,S,9.130000114440918
2021-11-29,7.230000019073486,7.78000020980835,6.769999980926514,7.590000152587891,4486000,B,7.180000076293945
2022-01-10,6.880000114440918,6.880000114440918,6.389999866485596,6.769999980926514,1896000,S,6.39999984741211
2022-03-28,8.069999694824219,8.539999961853027,7.800000190734863,7.909999847412109,2833600,B,8.360000381469726
2022-04-11,6.989999771118164,7.25,6.809999942779541,7.130000114440918,1871800,S,6.9100000762939455
2022-12-05,6.070000171661377,6.199999809265137,5.599999904632568,5.679999828338623,3113600,B,6.200000057220459
2022-12-12,5.679999828338623,5.71999979019165,5.25,5.349999904632568,2160200,S,5.569999923706055
