Date,Open,High,Low,Close,Volume,BB20TL,BB20ML,BB20BL,buy_sell,price
2003-03-17,44.0,45.0,44.0,44.5,184,61.64883412646315,52.0,42.35116587353685,B,44.51
2003-05-12,45.5,57.5,45.5,57.5,8,61.03761042345378,50.425,39.81238957654622,S,50.335
2006-05-29,394.5,400.0,354.5,385.0,92,548.5399724216376,462.875,377.21002757836237,B,394.51
2006-07-03,450.0,450.0,450.0,450.0,0,520.3938522008502,447.2,374.00614779914974,S,449.46
2006-10-16,280.0,282.5,275.0,275.0,16,491.86989758982196,370.3,248.73010241017806,B,280.01
2006-10-23,255.0,315.0,255.0,315.0,1038,488.26589484949443,365.675,243.0841051505056,S,274.99
2010-05-31,17.0,21.0,16.5,18.0,4305322,33.92965310360468,24.525,15.120346896395322,B,18.51
2010-08-02,18.0,21.0,17.5,20.0,3263970,27.223965443367174,19.975,12.726034556632829,S,20.335
2012-10-08,9.270000457763672,9.380000114440918,9.020000457763672,9.140000343322754,34200,13.121257438193789,10.866500043869019,8.611742649544249,B,9.369999656677246
2012-11-05,10.270000457763672,11.300000190734863,10.270000457763672,11.289999961853027,1005700,12.829384483950198,10.604000043869018,8.378615603787837,S,10.624500045776367
2015-03-23,32.5099983215332,33.290000915527344,25.6299991607666,25.700000762939453,388000,54.90965807690055,39.198500061035155,23.48734204516976,B,29.940000305175783
2015-06-08,26.899999618530277,27.200000762939453,24.600000381469727,24.600000381469727,89200,37.064721854252554,29.917000102996827,22.769278351741097,S,24.99
2016-11-21,17.399999618530273,17.899999618530273,16.5,16.920000076293945,117500,23.43039732932196,19.912999820709228,16.395602312096496,B,17.589999923706056
2017-01-23,18.290000915527344,20.190000534057617,18.239999771118164,20.0,252700,21.35161513027891,18.39849987030029,15.445384610321675,S,18.395999870300294
2017-11-27,20.57999992370605,20.57999992370605,18.239999771118164,18.5,76100,24.799988627975644,22.1460000038147,19.492011379653754,B,20.40999961853028
2017-12-11,18.799999237060547,19.280000686645508,17.770000457763672,17.90999984741211,80700,24.983063104420648,21.639000034332277,18.294936964243906,S,18.19000076293945
2017-12-25,18.18000030517578,19.530000686645508,18.18000030517578,19.530000686645508,61000,24.918465874006166,21.255000114440918,17.59153435487567,B,18.62000061035156
2018-01-01,19.530000686645508,21.3700008392334,19.530000686645508,21.049999237060547,51300,24.700886574017694,21.147500038146973,17.59411350227625,S,21.26500011444092
2018-10-01,9.010000228881836,9.649999618530272,8.850000381469727,9.40999984741211,153800,10.543270010833721,9.575500059127808,8.607730107421895,B,9.140000114440918
2018-10-08,9.6899995803833,10.0,9.40999984741211,9.619999885559082,123000,10.551313988446958,9.5885000705719,8.625686152696842,S,9.585500059127808
2021-09-20,45.0099983215332,48.68999862670898,44.33000183105469,48.09999847412109,1070500,58.39584491784297,51.44099941253662,44.48615390723027,B,46.7699983215332
2021-10-04,46.9900016784668,46.9900016784668,44.060001373291016,46.43999862670898,1217200,58.308401168553175,50.78149929046631,43.25459741237944,S,44.24
2022-01-31,12.529999732971191,14.166666030883787,12.489999771118164,13.763333320617676,4546500,54.53220172997536,30.99166660308838,7.451131476201397,B,12.650000343322754
2022-05-02,19.18666648864746,19.530000686645508,17.74333381652832,19.040000915527344,5899400,31.880383239284768,18.13283314704895,4.385283054813129,S,18.971333131790164
