Date,Open,High,Low,Close,Volume,buy_sell,price
2014-08-18,11.260000228881836,11.859999656677246,11.130000114440918,11.75,9467700,B,11.320000419616699
2014-08-25,11.800000190734863,12.079999923706056,11.199999809265137,11.40999984741211,15493900,S,11.99000072479248
2015-02-02,13.699999809265137,14.720000267028809,13.59000015258789,14.65999984741211,15535800,B,13.739999542236328
2015-02-09,14.649999618530272,15.489999771118164,14.630000114440918,15.06999969482422,16740600,S,15.289999008178711
2015-02-23,15.149999618530272,16.34000015258789,14.970000267028809,15.779999732971191,15830800,B,15.430000076293943
2015-03-02,15.9399995803833,17.729999542236328,15.779999732971191,17.610000610351562,24370900,S,16.700000762939446
2015-03-30,18.18000030517578,18.549999237060547,18.010000228881836,18.1299991607666,19402500,B,18.05999923706055
2015-05-11,18.8700008392334,20.299999237060547,18.86000061035156,19.88999938964844,17914500,S,19.849998474121094
2015-06-29,18.81999969482422,19.15999984741211,18.36000061035156,19.040000915527344,15547100,B,19.110000381469728
2015-07-20,20.11000061035156,21.299999237060547,19.46999931335449,21.15999984741211,12263300,S,20.640001296997077
2015-09-14,21.350000381469727,22.649999618530277,21.09000015258789,21.600000381469727,21703600,B,21.850000152587892
2015-09-21,21.739999771118164,21.81999969482422,20.670000076293945,21.420000076293945,21375100,S,20.809999694824217
2016-02-15,20.07999992370605,21.21999931335449,20.07999992370605,21.149999618530277,12262500,B,20.97999931335449
2016-02-29,21.3799991607666,22.0,18.729999542236328,21.0,18957400,S,20.020000686645506
2016-03-14,20.280000686645508,21.8799991607666,19.809999465942383,21.649999618530277,14698200,B,21.680000076293947
2016-03-28,21.63999938964844,21.68000030517578,19.350000381469727,19.3799991607666,7823900,S,19.559999694824217
2016-08-15,16.690000534057617,17.139999389648438,16.15999984741211,16.5,12697900,B,17.01
2016-10-31,16.56999969482422,16.65999984741211,15.3100004196167,15.390000343322754,8225700,S,15.510000457763672
2016-12-12,16.850000381469727,18.11000061035156,16.170000076293945,17.729999542236328,14410400,B,17.610000381469728
2017-01-30,16.549999237060547,16.75,15.510000228881836,15.760000228881836,10546300,S,15.719999542236328
2017-04-24,15.289999961853027,16.100000381469727,15.130000114440918,15.800000190734863,12258900,B,15.249999771118164
2017-05-22,15.880000114440918,17.690000534057617,15.800000190734863,17.100000381469727,17789400,S,16.5
2017-07-17,16.459999084472656,16.969999313354492,16.450000762939453,16.610000610351562,6212400,B,16.57999969482422
2017-08-07,16.360000610351562,16.469999313354492,15.760000228881836,16.09000015258789,11091800,S,15.840000381469729
2018-02-19,17.75,18.200000762939453,17.440000534057617,18.190000534057617,10693500,B,17.800000915527345
2018-03-12,18.32999992370605,19.239999771118164,18.32999992370605,18.729999542236328,19849600,S,18.930004119873047
2018-03-26,18.93000030517578,20.76000022888184,18.90999984741211,20.700000762939453,14057700,B,19.110000381469728
2018-04-02,20.559999465942383,21.71999931335449,20.100000381469727,21.21999931335449,13346000,S,20.380002975463867
2018-04-16,20.5,21.61000061035156,20.190000534057617,21.100000381469727,8956100,B,21.51
2018-04-23,21.100000381469727,21.420000076293945,19.799999237060547,21.200000762939453,17242400,S,20.149999847412108
2018-05-14,21.350000381469727,22.479999542236328,20.81999969482422,22.0,20785300,B,21.70000053405762
2018-05-28,20.8700008392334,21.420000076293945,20.15999984741211,21.100000381469727,27951800,S,20.51000045776367
2018-07-09,19.71999931335449,19.88999938964844,19.309999465942383,19.71999931335449,6261800,B,19.860000381469728
2018-08-06,19.65999984741211,19.84000015258789,18.88999938964844,19.020000457763672,9771300,S,19.270000686645506
2018-08-20,19.11000061035156,21.3799991607666,19.11000061035156,21.3799991607666,14449200,B,19.51
2018-08-27,21.31999969482422,22.18000030517578,20.989999771118164,21.350000381469727,15276400,S,20.989999771118164
2019-07-15,16.780000686645508,17.170000076293945,16.43000030517578,16.5,17318100,B,16.839999923706056
2019-07-22,16.5,16.520000457763672,15.729999542236328,15.890000343322754,15914000,S,16.3699991607666
2019-09-02,14.979999542236328,15.289999961853027,14.720000267028809,15.0,12257700,B,15.070000419616699
2019-11-04,16.25,17.850000381469727,16.209999084472656,17.579999923706055,21820200,S,16.92000102996826
2020-12-28,25.299999237060547,26.549999237060547,25.07999992370605,26.549999237060547,7312100,B,25.87000061035156
2021-01-04,26.6200008392334,29.100000381469727,25.399999618530277,28.88999938964844,26136600,S,28.160003662109364
2022-05-16,22.25,22.690000534057617,21.56999969482422,21.81999969482422,28934800,B,22.210000762939455
2022-06-13,21.13999938964844,21.5,19.979999542236328,20.36000061035156,24594000,S,20.6199991607666
2022-08-08,19.709999084472656,20.299999237060547,19.520000457763672,20.290000915527344,32721900,B,20.20000053405762
2022-08-29,19.700000762939453,19.950000762939453,18.3799991607666,18.559999465942383,50930100,S,19.139999618530275
2023-02-13,19.57999992370605,20.06999969482422,19.13999938964844,19.32999992370605,25281100,B,19.860000381469728
2023-02-20,19.200000762939453,19.239999771118164,18.81999969482422,19.030000686645508,10452000,S,19.059999694824217
