Date,Open,High,Low,Close,Volume,buy_sell,price
2006-11-20,7.233333110809326,7.630000114440918,7.036665916442871,7.5833330154418945,1579500,B,7.276665935516357
2006-11-27,7.5833330154418945,8.166666030883789,7.533332824707031,8.126666069030762,1262700,S,8.059998035430908
2006-12-25,8.5,8.666666030883789,8.333333015441895,8.333333015441895,1242600,B,8.610000381469726
2007-01-08,8.399999618530273,8.399999618530273,7.966666221618652,8.166666030883789,1053300,S,8.053332557678223
2007-01-29,8.583333015441895,9.066665649414062,8.496665954589844,8.833333015441895,1659000,B,8.843333015441894
2007-07-23,10.333333015441896,11.333333015441896,10.033332824707031,10.333333015441896,2689500,S,11.166666984558105
2007-10-01,8.5,9.166666030883787,8.266666412353516,9.0,9894000,B,8.51
2007-11-26,8.079999923706055,8.16333293914795,7.433332920074463,7.949999809265137,2114100,S,7.803333034515381
2007-12-10,8.329999923706055,8.666666030883789,7.966666221618652,8.393333435058594,1460100,B,8.060000190734863
2008-01-14,7.986666202545166,7.989999771118164,6.849999904632568,7.163332939147949,633600,S,7.423332920074463
2008-02-18,6.633333206176758,6.996665954589844,6.5,6.863333225250244,1977300,B,6.8399999237060545
2008-03-24,6.433332920074463,6.533332824707031,5.833333015441895,5.833333015441895,338400,S,5.99666618347168
2008-04-21,7.143332958221436,7.21999979019165,6.706665992736816,7.21999979019165,1347600,B,7.226666221618652
2008-09-15,6.349999904632568,6.5,5.50333309173584,5.816666126251221,2592900,S,5.623333206176758
2008-09-29,6.396666049957275,7.133333206176758,6.0,6.666666030883789,1110000,B,6.5066659545898435
2008-10-06,6.199999809265137,6.333333015441895,5.0,5.333333015441895,1049400,S,5.49333309173584
2008-10-20,6.096665859222412,6.333333015441895,5.336666107177734,5.666666030883789,896400,B,6.166665802001953
2009-07-13,9.039999961853027,10.483332633972168,9.039999961853027,10.483332633972168,364800,S,10.423332214355469
2009-08-10,10.666666030883787,11.366665840148926,10.666666030883787,11.366665840148926,383700,B,11.01
2009-10-12,12.260000228881836,12.800000190734863,12.260000228881836,12.796666145324709,370800,S,12.366668701171875
2009-10-19,12.796666145324709,12.94666576385498,12.039999961853027,12.600000381469728,236700,B,12.810000190734863
2010-01-18,14.0,15.333333015441896,13.533332824707031,15.216666221618652,2122500,S,14.766669273376465
2010-02-01,16.566665649414062,17.333332061767578,15.5,15.666666030883787,1323900,B,16.64333320617676
2010-04-12,14.383333206176758,14.5,12.966666221618652,13.016666412353516,436800,S,13.523332824707031
2010-06-07,12.233332633972168,13.0,12.09666633605957,12.983332633972168,344400,B,12.426666030883787
2010-06-14,13.333333015441896,14.666666030883787,12.010000228881836,14.666666030883787,560421,S,14.249998092651362
2010-07-19,13.266666412353516,13.5,13.0,13.166666030883787,156600,B,13.339999923706056
2011-01-10,12.699999809265137,13.0,12.0,12.50666618347168,1670700,S,12.323333015441897
2011-03-14,11.833333015441896,12.66333293914795,11.666666030883787,12.399999618530272,2939400,B,12.16999984741211
2011-05-16,13.699999809265137,14.333333015441896,13.699999809265137,14.333333015441896,1269600,S,13.940000534057617
2011-08-22,12.66333293914795,13.07333278656006,12.34000015258789,12.760000228881836,681300,B,13.01
2012-04-23,16.670000076293945,18.530000686645508,16.35333251953125,18.333332061767575,6132900,S,17.893333435058594
2012-06-04,18.316665649414062,19.32999992370605,18.1299991607666,19.0,2312700,B,18.66999984741211
2012-09-24,21.59333229064941,22.47333335876465,20.82999992370605,22.13333320617676,1960200,S,22.22666549682618
2012-10-29,22.18666648864746,23.496665954589844,21.99333381652832,23.233333587646484,2976600,B,22.67666603088379
2012-12-10,24.030000686645508,26.33666610717773,24.01666641235352,25.433332443237305,2475900,S,25.513334274292
2013-01-07,26.190000534057617,27.42333221435547,26.17333221435547,26.38666534423828,1455300,B,26.57333351135254
2013-02-11,25.66666603088379,26.11000061035156,25.0,25.0,818100,S,25.323332061767573
2013-03-04,25.003332138061523,27.03333282470703,24.5,26.716665267944336,3450900,B,26.01
2013-04-29,28.63999938964844,29.876665115356445,28.43666648864746,29.316665649414062,2714700,S,29.71333694458007
2013-07-08,27.90333366394043,28.663333892822266,27.33666610717773,27.899999618530277,2072700,B,28.343332061767576
2013-09-16,32.72999954223633,35.913333892822266,32.66666412353516,35.733333587646484,2790300,S,34.72666549682616
2014-02-17,28.643333435058597,28.76666641235352,27.65333366394043,28.5,1706100,B,28.77333236694336
2015-07-20,27.0,27.51666641235352,25.8266658782959,26.549999237060547,2316600,S,26.33666633605957
2015-10-05,21.09666633605957,24.82999992370605,20.793333053588867,24.82999992370605,2216700,B,20.866666564941408
2016-04-11,23.91666603088379,27.239999771118164,23.426666259765625,26.333332061767575,1888500,S,26.72333145141601
2016-05-02,26.399999618530277,29.63333320617676,26.239999771118164,28.93666648864746,3344400,B,27.249999771118166
2016-07-11,34.973331451416016,38.52333450317383,34.810001373291016,37.43333435058594,2016900,S,37.86666679382324
