Date,Open,High,Low,Close,Volume,EMA9,buy_sell,price
2010-05-31,1948.0,2116.0400390625,1948.0,2116.0,8925,1939.4729622571929,B,1955.6099755859373
2010-07-05,1870.0,1911.9599609375,1768.0400390625,1800.0,4625,1905.7685977724373,S,1775.99
2010-07-26,2140.0,2270.0,2084.0400390625,2160.0400390625,8750,1970.8975454969882,B,2160.01
2010-08-23,2040.0,2040.0,1956.0400390625,1968.0,15425,2009.5964346355668,S,1991.270029296875
2010-09-06,2123.9599609375,2264.0,2104.0400390625,2264.0,5175,2081.309725979263,B,2159.9699609375
2010-12-13,2180.0,2240.0,1980.0,2080.0,11250,2253.2345839453037,S,2100.0300390625
2011-03-14,1982.9200439453125,2159.919921875,1948.0400390625,2083.9599609375,10775,1962.9901187874125,B,2043.8900048828125
2011-04-25,1960.0400390625,1967.3599853515625,1644.0400390625,1760.0,57475,1950.6329886994079,S,1796.42994140625
2011-09-26,1404.0,1520.0,1400.0,1468.0,11400,1439.8476935064573,B,1512.01
2011-10-03,1459.9200439453125,1459.9200439453125,1164.1199951171875,1260.0,19225,1403.8781548051659,S,1263.99
2011-10-31,1399.56005859375,1539.9599609375,1390.0,1438.0,22882,1398.5555250206958,B,1471.9699609375
2011-11-07,1438.0,1438.0,1256.0,1292.0,31506,1377.2444200165567,S,1279.99
2012-01-23,1251.0,1349.0,1251.0,1280.0,17584,1224.5185347553925,B,1280.01
2012-04-09,1546.0,1590.0,1456.0,1525.0,27018,1567.0250933739253,S,1516.99
2012-07-30,1140.0,1268.0,1102.0,1240.0,60043,1153.963742241203,B,1140.01
2012-08-20,1165.0,1210.0,1098.0,1140.0,25162,1174.0294360274959,S,1148.99
2012-09-24,1330.0,1330.0,1125.0,1243.0,51010,1209.7155655974902,B,1326.01
2012-10-01,1236.0,1271.0,1157.0,1191.0,55637,1205.9724524779922,S,1160.99
2012-10-15,1225.0,1330.0,1196.0,1280.0,97581,1223.022369585915,B,1245.01
2012-10-22,1279.0,1286.0,1113.0,1130.0,53714,1204.417895668732,S,1153.99
2012-12-24,1040.0,1091.0,991.0,1065.0,33451,1027.8480229591983,B,1040.01
2013-01-07,1017.0,1040.0,980.0,1015.0,37537,1024.662734693887,S,993.99
2014-01-06,60.0,85.0,59.0,71.0,389853,59.237360386736356,B,66.01
2014-03-17,59.0,61.0,55.0,55.0,72289,62.29231589425997,S,55.99
2014-06-16,50.0,62.0,50.0,55.0,206493,49.659181464447336,B,55.01
2014-07-28,53.0,53.0,49.0,52.0,15232,52.897792465816096,S,51.99
2014-11-24,47.0,64.0,32.0,45.0,623410,30.581143995220106,B,49.01
2014-12-15,27.0,38.0,22.0,29.0,497896,31.3135457255527,S,23.99
2015-06-15,18.0,33.0,17.0,22.0,578572,17.80645619273821,B,21.01
2015-07-27,19.0,20.0,17.0,18.0,42365,20.51899165218917,S,18.99
2016-02-01,15.0,17.0,14.0,15.0,19173,14.615629464897076,B,16.01
2016-05-30,18.5,19.200000762939453,17.149999618530273,17.149999618530273,14700,18.31371876990896,S,18.090000381469725
2017-01-09,15.899999618530272,16.989999771118164,14.670000076293944,15.579999923706056,8500,15.371598259833927,B,16.110000381469728
2017-01-16,14.720000267028809,15.890000343322754,14.399999618530272,15.800000190734863,7800,15.457278646014114,S,14.39999984741211
2017-06-12,11.449999809265137,12.5,11.399999618530272,11.880000114440918,4400,11.326373000082976,B,11.94000030517578
2017-07-17,11.300000190734863,11.300000190734863,10.31999969482422,10.989999771118164,900,11.311665899174029,S,10.389999618530272
2017-08-07,11.5,13.199999809265137,10.699999809265137,12.5,3000,11.539572940377106,B,11.51
2017-09-11,11.850000381469728,12.140000343322754,10.5,10.9399995803833,19100,11.862279130304433,S,10.979999771118164
2018-05-21,6.710000038146973,7.789999961853027,6.710000038146973,7.480000019073486,10200,7.045703111396514,B,7.51
2018-06-11,6.5,7.239999771118164,6.289999961853027,6.650000095367432,13700,6.894200030419048,S,6.5400001907348635
2019-01-21,4.900000095367432,5.159999847412109,4.210000038146973,4.96999979019165,6700,4.514239078969496,B,5.01
2019-03-04,4.5,4.5,4.199999809265137,4.5,2400,4.559561115875193,S,4.39999984741211
2019-07-01,5.449999809265137,6.449999809265137,4.920000076293945,4.96999979019165,71700,4.061364841837825,B,5.450000057220459
2019-08-05,4.0,4.110000133514404,3.7200000286102295,3.910000085830689,19100,4.294780021195807,S,4.189999809265137
2020-01-20,3.5,4.389999866485596,3.4100000858306885,3.75,71100,3.3872970502848165,B,3.51
2020-03-09,3.7699999809265137,3.7699999809265137,3.0,3.3499999046325684,14700,3.9669179573821083,S,3.190000047683716
2020-06-08,3.25,3.5899999141693115,3.200000047683716,3.450000047683716,13500,3.287543105022137,B,3.51
2021-03-01,17.5,18.600000381469727,16.049999237060547,17.850000381469727,55800,18.797157548836864,S,17.389999618530272
2022-01-24,7.420000076293945,8.779999732971191,7.0,7.75,140900,7.402120233992949,B,8.570000419616699
2022-02-07,7.269999980926514,7.539999961853027,6.869999885559082,7.099999904632568,19400,7.317356930682002,S,7.24
2022-09-05,5.869999885559082,8.479999542236328,5.650000095367432,7.489999771118164,392600,5.839482447838774,B,6.4599998092651365
2022-10-03,5.949999809265137,6.039999961853027,5.71999979019165,5.789999961853027,27500,6.040092051223143,S,5.77000020980835
2022-10-24,6.150000095367432,7.050000190734863,5.610000133514404,6.019999980926514,150900,5.971727153877373,B,6.319999942779541
2023-01-02,6.5,6.889999866485596,6.28000020980835,6.420000076293945,34600,6.626506372427135,S,6.500000228881836
2023-03-06,6.090000152587891,7.679999828338623,6.090000152587891,7.679999828338623,42300,6.394901215257496,B,6.770000228881836
2023-04-03,7.0,7.0,4.900000095367432,4.909999847412109,146500,6.301383538501893,S,4.950000038146973
