Date,Open,High,Low,Close,Volume,buy_sell,price
2001-12-17,0.2193749994039535,0.2312500029802322,0.2193749994039535,0.2312500029802322,3200,B,0.2293749994039535
2001-12-24,0.2312500029802322,0.2312500029802322,0.2312500029802322,0.2312500029802322,0,S,0.2312500029802322
2006-11-06,0.9850000143051147,1.024999976158142,0.975000023841858,0.975000023841858,44000,B,0.985000023841858
2006-11-20,1.1174999475479126,1.1375000476837158,1.1174999475479126,1.1375000476837158,5600,S,1.1200001239776611
2007-08-27,1.7000000476837158,1.75,1.625,1.725000023841858,51200,B,1.6849999523162842
2008-02-18,1.600000023841858,1.600000023841858,1.4500000476837158,1.475000023841858,549200,S,1.49
2008-03-24,1.5625,1.6399999856948853,1.475000023841858,1.5475000143051147,50800,B,1.5850000476837158
2008-06-30,1.6875,1.6875,1.399999976158142,1.5950000286102295,496000,S,1.4350000524520874
2008-07-21,1.524999976158142,1.6124999523162842,1.5,1.6124999523162842,31600,B,1.5850000476837158
2008-08-18,1.399999976158142,1.5475000143051147,1.375,1.4500000476837158,110400,S,1.465000023841858
2008-09-08,1.4275000095367432,1.497499942779541,1.375,1.3975000381469729,68400,B,1.444999942779541
2008-09-15,1.412500023841858,1.497499942779541,1.2300000190734863,1.497499942779541,58000,S,1.3150000476837158
2008-12-22,0.7950000166893005,0.8125,0.7250000238418579,0.7250000238418579,94400,B,0.8075000143051148
2008-12-29,0.7250000238418579,0.8224999904632568,0.7174999713897705,0.8224999904632568,57200,S,0.7150000238418579
2009-01-12,0.7749999761581421,0.8100000023841858,0.737500011920929,0.7925000190734863,28400,B,0.8075000143051148
2009-02-02,0.7749999761581421,0.7749999761581421,0.7024999856948853,0.762499988079071,44800,S,0.7175000214576721
2009-09-14,1.225000023841858,1.25,1.1875,1.247499942779541,41200,B,1.235000023841858
2009-09-21,1.1675000190734863,1.2625000476837158,1.1675000190734863,1.225000023841858,121600,S,1.1775
2009-10-12,1.2975000143051147,1.350000023841858,1.25,1.350000023841858,204400,B,1.3099999523162842
2009-10-26,1.274999976158142,1.3600000143051147,1.212499976158142,1.2725000381469729,510800,S,1.24
2009-11-09,1.287500023841858,1.350000023841858,1.2575000524520874,1.3250000476837158,139600,B,1.3099999523162842
2009-11-16,1.347499966621399,1.347499966621399,1.212499976158142,1.309999942779541,416000,S,1.24
2009-12-14,1.4225000143051147,1.4249999523162842,1.337499976158142,1.4249999523162842,78000,B,1.409999976158142
2010-01-04,1.5,1.587499976158142,1.5,1.587499976158142,175600,S,1.5699998140335083
2010-02-15,1.649999976158142,1.722499966621399,1.6475000381469729,1.6725000143051147,154800,B,1.6825000143051148
