Date,Open,High,Low,Close,Volume,RSI2,buy_sell,price
2021-01-18,35.4900016784668,37.34999847412109,33.849998474121094,34.279998779296875,1582800,24.039586274496372,B,34.279998779296875
2021-02-08,34.56999969482422,37.45000076293945,33.9900016784668,35.790000915527344,1451300,78.37703142757768,S,35.500001678466795
2021-03-22,43.97999954223633,44.56999969482422,39.08000183105469,39.400001525878906,2252600,23.066179043705162,B,39.400001525878906
2021-04-12,39.90999984741211,43.18999862670898,39.56999969482422,41.59999847412109,5640900,71.54414017582042,S,41.01
2021-05-03,43.68999862670898,43.84000015258789,39.02999877929688,40.400001525878906,9579000,24.193280635798516,B,40.400001525878906
2021-05-24,36.86000061035156,41.61000061035156,36.86000061035156,40.900001525878906,8109200,70.45707508649096,S,41.160001525878904
2021-07-12,47.59999847412109,47.59999847412109,42.08000183105469,43.38999938964844,7381300,15.5712300577284,B,43.38999938964844
2021-08-30,38.0,39.79999923706055,36.150001525878906,36.90999984741211,6887600,45.81127684898814,S,38.149999389648436
2021-09-06,36.79999923706055,38.27000045776367,33.40999984741211,34.25,5490000,17.374097931800137,B,34.25
2021-09-27,36.400001525878906,43.81999969482422,36.09999847412109,42.56999969482422,19328400,94.423102192378,S,37.10000015258789
2021-10-18,41.33000183105469,43.119998931884766,32.29999923706055,33.95000076293945,14995500,14.285868400050404,B,33.95000076293945
2021-12-06,31.68000030517578,34.02000045776367,29.63999938964844,30.440000534057617,11748100,51.45034343511602,S,31.77000022888184
2022-02-21,36.0,38.34999847412109,31.51000022888184,33.880001068115234,39768700,14.721237630200207,B,33.880001068115234
2022-03-07,39.470001220703125,40.619998931884766,35.599998474121094,36.040000915527344,26981400,41.92965665544986,S,39.359998474121085
2022-05-09,43.0,43.400001525878906,39.54999923706055,42.27000045776367,18782700,21.935361338887404,B,42.27000045776367
2022-05-23,42.83000183105469,49.400001525878906,42.720001220703125,48.959999084472656,17302300,90.09681083150183,S,44.01
2022-06-13,43.619998931884766,43.84999847412109,35.91999816894531,36.75,19471400,7.772041637286691,B,36.75
2022-07-25,29.86000061035156,34.56999969482422,29.399999618530277,34.02000045776367,18245800,75.74211149855546,S,32.500001678466795
2022-09-26,37.02000045776367,37.060001373291016,34.220001220703125,35.61000061035156,23421100,13.414538221239013,B,35.61000061035156
2022-10-03,37.5,43.93000030517578,36.72999954223633,42.88999938964844,31306800,87.58703376924078,S,40.129998931884764
2022-11-14,43.650001525878906,43.97999954223633,37.29999923706055,38.18000030517578,23238000,19.967667150655686,B,38.18000030517578
2022-12-26,35.900001525878906,38.5,35.2400016784668,37.75,13486300,83.15631308745392,S,36.07999969482422
2023-02-13,44.45000076293945,44.650001525878906,39.720001220703125,39.84999847412109,20215900,20.710536724282136,B,39.84999847412109
2023-04-03,30.700000762939453,31.25,29.809999465942383,29.93000030517578,8637700,40.76294693262928,S,29.93000030517578
