Date,Open,High,Low,Close,Volume,buy_sell,price
2016-09-12,2.619999885559082,2.75,2.400000095367432,2.6700000762939453,2717100,B,2.509999980926514
2016-09-19,2.630000114440918,2.970000028610229,2.630000114440918,2.9100000858306885,3823900,S,2.8900001144409178
2016-11-07,3.220000028610229,3.2799999713897705,2.740000009536743,2.8499999046325684,5103800,B,2.819999923706055
2017-02-13,2.0999999046325684,2.3299999237060547,1.950000047683716,2.299999952316284,9099900,S,2.26
2017-03-06,2.630000114440918,2.740000009536743,2.2300000190734863,2.240000009536743,5229500,B,2.319999923706055
2017-03-27,2.140000104904175,2.319999933242798,2.0799999237060547,2.2799999713897705,1732500,S,2.319999942779541
2017-04-17,2.2300000190734863,2.2699999809265137,2.0999999046325684,2.190000057220459,1336900,B,2.1099998855590822
2017-05-01,2.3499999046325684,2.5199999809265137,2.200000047683716,2.220000028610229,2233100,S,2.359999904632568
2017-05-15,2.299999952316284,2.309999942779541,1.940000057220459,1.9900000095367432,3447800,B,2.190000047683716
2017-06-26,1.8799999952316284,2.109999895095825,1.8799999952316284,2.039999961853028,4600500,S,2.0199999904632566
2017-07-31,2.130000114440918,2.150000095367432,2.0299999713897705,2.049999952316284,4502100,B,2.0399999523162844
2017-08-14,2.039999961853028,2.190000057220459,2.009999990463257,2.1700000762939453,7696000,S,2.160000095367432
2017-10-16,3.559999942779541,3.559999942779541,3.3499999046325684,3.450000047683716,2875600,B,3.3900000953674323
2017-11-20,3.450000047683716,3.490000009536743,3.289999961853028,3.4800000190734863,5976700,S,3.4600000476837156
2017-12-04,3.309999942779541,3.400000095367432,3.119999885559082,3.200000047683716,2821900,B,3.1600000762939455
2017-12-25,3.180000066757202,3.390000104904175,3.049999952316284,3.390000104904175,6978900,S,3.240000019073486
2018-01-15,3.190000057220459,3.240000009536743,3.0,3.240000009536743,6072800,B,3.120000114440918
2018-01-29,3.380000114440918,3.700000047683716,3.299999952316284,3.700000047683716,12258100,S,3.3900001144409178
2018-03-12,3.759999990463257,3.950000047683716,3.609999895095825,3.609999895095825,8436500,B,3.6099998855590822
2018-04-30,3.470000028610229,3.4800000190734863,3.119999885559082,3.150000095367432,7195100,S,3.4600000476837156
