Date,Open,High,Low,Close,Volume,buy_sell,price
2006-04-24,2.982429981231689,3.795819997787476,2.982429981231689,3.795819997787476,1106,B,3.080998907089233
2006-05-01,3.795819997787476,3.795819997787476,3.795819997787476,3.795819997787476,0,S,3.795819997787476
2008-03-10,8.0,8.25,7.997499942779541,8.175000190734863,22000,B,8.00749994277954
2008-03-24,7.949999809265137,7.949999809265137,6.5,6.5,353600,S,7.115
2008-04-14,6.199999809265137,6.550000190734863,6.025000095367432,6.25,54800,B,6.26
2008-04-28,6.125,7.65500020980835,6.0,6.724999904632568,487200,S,7.25
2008-12-08,1.6124999523162842,1.747499942779541,1.377500057220459,1.497499942779541,89600,B,1.6224999523162842
2008-12-22,1.5,1.5,1.212499976158142,1.212499976158142,257600,S,1.365
2009-02-23,1.4874999523162842,1.5,1.412500023841858,1.5,138000,B,1.507499942779541
2009-03-02,1.4149999618530271,1.4874999523162842,1.277500033378601,1.4249999523162842,59600,S,1.402500023841858
2009-03-30,1.6124999523162842,2.0,1.5800000429153442,1.7374999523162842,5098400,B,1.6124999523162842
2009-04-06,1.7350000143051147,1.9850000143051147,1.597499966621399,1.9424999952316284,3489200,S,1.7049999237060542
2009-04-13,1.9800000190734863,2.25,1.899999976158142,1.995000004768372,3656800,B,1.9950000143051148
2009-11-30,2.375,4.949999809265137,2.375,4.650000095367432,2964000,S,2.7600001096725464
2010-11-29,4.75,4.849999904632568,4.625,4.724999904632568,67200,B,4.76
2010-12-06,4.650000095367432,4.675000190734863,4.375,4.599999904632568,34800,S,4.589999904632569
2011-05-23,6.622499942779541,6.625,6.622499942779541,6.625,4000,B,6.622499942779541
2011-06-27,6.25,6.25,6.0,6.0,400,S,6.24
2011-12-26,3.8125,3.880000114440918,3.7899999618530273,3.875,36400,B,3.8225
2012-01-02,3.799999952316284,4.362500190734863,3.799999952316284,4.362500190734863,20400,S,3.887499809265136
2012-03-26,6.0,6.25,6.0,6.0,8400,B,6.01
2012-04-09,6.0,6.0,5.002500057220459,5.002500057220459,800,S,5.964999904632569
2013-12-09,9.5,10.1899995803833,9.5,9.510000228881836,4400,B,9.5
2013-12-16,8.329999923706055,9.0,8.329999923706055,8.40999984741211,21800,S,8.960000267028809
2014-03-31,6.630000114440918,7.099999904632568,6.630000114440918,7.099999904632568,300,B,6.700000057220459
2014-04-07,7.199999809265137,7.25,6.840000152587891,6.849999904632568,25900,S,7.049999713897705
2014-07-14,7.5,7.980000019073486,7.5,7.980000019073486,500,B,7.609999904632568
2014-07-21,7.550000190734863,8.5,6.210000038146973,7.599999904632568,7200,S,7.49
2016-04-25,2.470000028610229,2.970000028610229,2.470000028610229,2.970000028610229,25400,B,2.480000028610229
2016-05-02,2.890000104904175,2.970000028610229,2.7100000381469727,2.7100000381469727,3700,S,2.7100000381469727
2016-08-08,2.799999952316284,3.180000066757202,2.799999952316284,3.180000066757202,38100,B,3.0799999332427976
2016-10-10,3.4100000858306885,3.819999933242798,3.150000095367432,3.680000066757202,15300,S,3.7899997234344482
2017-01-02,3.75,3.9700000286102295,3.640000104904175,3.759999990463257,82800,B,3.7100000476837156
2017-01-09,3.799999952316284,3.799999952316284,3.25,3.2799999713897705,94600,S,3.49
2017-04-10,3.75,4.329999923706055,3.75,4.25,55600,B,3.8599999046325677
2017-04-17,4.400000095367432,4.400000095367432,4.090000152587891,4.300000190734863,31500,S,4.349999904632567
2017-07-03,4.099999904632568,4.699999809265137,4.070000171661377,4.699999809265137,80400,B,4.099999904632568
2017-07-10,4.699999809265137,4.849999904632568,4.449999809265137,4.449999809265137,45100,S,4.449999809265137
2017-08-07,5.650000095367432,6.449999809265137,5.630000114440918,6.099999904632568,42700,B,6.10000015258789
2017-09-04,7.210000038146973,7.659999847412109,7.0,7.179999828338623,166400,S,7.2300004959106445
2017-12-11,7.78000020980835,7.940000057220459,7.260000228881836,7.829999923706055,82000,B,7.8999998664855955
2018-05-14,7.510000228881836,7.650000095367432,6.699999809265137,7.199999809265137,118100,S,7.069999923706055
2019-05-27,4.239999771118164,4.920000076293945,4.239999771118164,4.699999809265137,81936300,B,4.430000076293945
2019-07-01,5.099999904632568,6.489999771118164,5.050000190734863,6.349999904632568,256515500,S,5.260000228881836
2019-07-29,7.300000190734863,8.359999656677246,7.190000057220459,8.1899995803833,205606300,B,7.430000076293945
2019-08-05,7.960000038146973,8.65999984741211,7.809999942779541,8.529999732971191,131727600,S,8.520000457763672
2019-10-14,7.710000038146973,8.0600004196167,7.650000095367432,7.840000152587891,91759000,B,7.9599998092651365
2019-10-21,7.840000152587891,7.880000114440918,7.369999885559082,7.429999828338623,101225800,S,7.439999809265137
2020-01-13,11.770000457763672,14.029999732971191,11.75,13.729999542236328,280309200,B,11.839999923706056
2020-01-20,13.770000457763672,15.43000030517578,13.649999618530272,15.0,238921500,S,13.649999618530272
2020-02-03,14.25,15.34000015258789,14.029999732971191,14.31999969482422,155732700,B,15.060000190734863
2020-02-10,14.329999923706056,15.260000228881836,13.5600004196167,14.729999542236328,191973900,S,13.67000030517578
2020-04-13,5.050000190734863,6.730000019073486,5.019999980926514,6.480000019073486,471275000,B,5.549999961853027
